course_name,slide_link
3DB3 - McMaster University,https://notes.aarnphm.xyz/thoughts/university/twenty-four-twenty-five/sfwr-3db3/intro.pdf
C343 - Indiana University Bloomington,https://iudatastructurescourse.github.io/course-web-page-spring-2024
CIS301 - Kansas State University,https://textbooks.cs.ksu.edu/cis301
CIS308 - Kansas State University,https://textbooks.cs.ksu.edu/cis308
CIS554 - Cleveland State University,https://academic.csuohio.edu/zhao-wenbing/cis-554-data-communication-networks
CMPSC311 - Penn State University,https://github.com/PSUCMPSC311/psucmpsc311.github.io
COMP230 - McGill University,https://www.cs.mcgill.ca/media/academic/courses/7_COMP_230_lctTNCP.pdf
COMP250 - McGill University,https://cim.mcgill.ca/~langer/250/lecturenotes-all.pdf
COMP251 - McGill University,https://www.cs.mcgill.ca/~jeromew/comp251.html
COMP409 - McGill University,https://www.cs.mcgill.ca/media/academic/courses/33_COMP_409_6jNnXzK.pdf
COMP557 - McGill University,https://cim.mcgill.ca/~langer/557.html
CS122 - Carnegie Mellon University,https://www.cs.cmu.edu/~15122
CS149 - James Madison University,https://w3.cs.jmu.edu/simmonsj/cs149
CS159 - James Madison University,https://w3.cs.jmu.edu/mayfiecs/cs159
CS201 - Duke University,https://courses.cs.duke.edu/spring26/compsci201/sec02
CS230 - Duke University,https://donaldlab.cs.duke.edu/Teaching/discretemath/Online/materials.shtml
CS325H - Oregon State University,https://web.engr.oregonstate.edu/~nayyeria/CS325/Fall17/index.htm
CS3510 - Georgia Institute of Technology,http://www.cs3510.com/lectures
CS4301 - University of Texas at Dallas,https://personal.utdallas.edu/~nrr150130/cs4301/2020fa/lects/
CS442 - Penn State University,https://ryanzhumich.github.io/442.html
CS4476 - Georgia Institute of Technology,https://faculty.cc.gatech.edu/~hays/compvision
CS4510 - Georgia Institute of Technology,https://faculty.cc.gatech.edu/~ladha/S24/4510
CS6220 - Georgia Institute of Technology,https://faculty.cc.gatech.edu/~lingliu/courses/cs6220/2020
CS6360 - University of Texas at Dallas,https://utdallas.edu/~muratk/courses/db08.htm
CS6375 - University of Texas at Dallas,https://www.utdallas.edu/~nicholas.ruozzi/cs6375/2022sp/
CS7643 - Georgia Institute of Technology,https://faculty.cc.gatech.edu/~zk15/teaching/AY2025_cs7643_spring/index.html
CS8803 - Georgia Institute of Technology,https://faculty.cc.gatech.edu/~jarulraj/courses/8803-f19
CSC211 - College of Staten Island,http://www.cs.csi.cuny.edu/~gu/teaching/courses/csc211/csc211.html
CSCI127 - Montana State University,https://www.cs.montana.edu/defrance/classes/127
CSCI131 - College of the Holy Cross,https://mathcs.holycross.edu/~croyden/csci131/index.html
CSCI2510 - Saint Louis University,https://dferry.github.io/courses/csci2510/
CSCI2541 - George Washington University,https://gwu-cs2541-sp23.github.io
CSCI338 - Montana State University,https://www.cs.montana.edu/yaw/teaching/archive/338F24.html
CSCI5530 - Saint Louis University,https://cs.slu.edu/~esposito/teaching/4530/
CSCIE109B - Harvard University,https://harvard-iacs.github.io/2022-CS109B/pages/syllabus.html
"ECE3301L - California State Polytechnic University, Pomona",https://www.cpp.edu/faculty/mrafiquzzama/ece3301l.shtml
ECE3724 - Mississippi State University,https://sites.google.com/site/ece3724/Home
ECE461 - North Dakota State University,https://www.bisonacademy.com/ECE461/Index.htm
ECE560 - Duke University,https://people.duke.edu/~tkb13/courses/ece560-2024fa
ECON2030 - Auburn University,https://webhome.auburn.edu/~garriro/2syl11spring.htm
EE224 - Iowa State University,https://home.engineering.iastate.edu/~julied/classes/ee224/index.htm
EE230 - Iowa State University,http://class.ece.iastate.edu/ee230
EEE304 - Arizona State University,https://tsakalis.faculty.asu.edu/304.htm
ELEC241 - Rice University,https://github.com/onkursen/elec241-ta-notes
IT238 - DePaul University,https://facsrv.cdm.depaul.edu/~cmiller/it238
MACM101 - Simon Fraser University,https://www2.cs.sfu.ca/CourseCentral/101.MACM/ramesh/lectureslides.html
