-- STAGE 4 — course-specific RMP ratings -----------------------------------------------
courses to process: 45

[  1/45] CEN4010      Florida International Universi ->  21 ratings kept, avg quality 1.33
[  2/45] CIS15        Brooklyn College               ->   0 ratings kept, avg quality None
[  3/45] CIS200       Kansas State University        ->  14 ratings kept, avg quality 4.86
[  4/45] CIS3550      Baruch College                 ->   5 ratings kept, avg quality 5.0
[  5/45] CISC1115     Brooklyn College               ->   0 ratings kept, avg quality None
[  6/45] CISC1600     Brooklyn College               ->   7 ratings kept, avg quality 4.71
[  7/45] CISC2210     Brooklyn College               ->   0 ratings kept, avg quality None
[  8/45] CISC3130     Brooklyn College               ->  12 ratings kept, avg quality 2.17
[  9/45] CISC3171     Brooklyn College               ->   6 ratings kept, avg quality 4.83
[ 10/45] COMP2710     Auburn University              ->  16 ratings kept, avg quality 3.31
[ 11/45] COMP3220     Auburn University              ->   0 ratings kept, avg quality None
[ 12/45] COMP7500     Auburn University              ->  22 ratings kept, avg quality 4.86
[ 13/45] COMS207      Iowa State University          ->   5 ratings kept, avg quality 3.8
[ 14/45] CS100M       Cornell University             ->   0 ratings kept, avg quality None
[ 15/45] CS102        Cooper Union                   ->   9 ratings kept, avg quality 4.78
[ 16/45] CS1301       Georgia Institute of Technolog ->   0 ratings kept, avg quality None
[ 17/45] CS1315       Georgia Institute of Technolog ->   3 ratings kept, avg quality 4.33
[ 18/45] CS132        Boston University              ->  24 ratings kept, avg quality 4.04
[ 19/45] CS3001       Georgia Institute of Technolog ->   0 ratings kept, avg quality None
[ 20/45] CS4320       Cornell University             ->  15 ratings kept, avg quality 3.2
[ 21/45] CS4470       Georgia Institute of Technolog ->   0 ratings kept, avg quality None
[ 22/45] CS50X        Harvard University             ->  82 ratings kept, avg quality 4.62
[ 23/45] CS566        Boston University              ->   0 ratings kept, avg quality None
[ 24/45] CS600        East Carolina University       ->   0 ratings kept, avg quality None
[ 25/45] CS6750       Georgia Institute of Technolog ->   0 ratings kept, avg quality None
[ 26/45] CSC005       Hofstra University             ->   0 ratings kept, avg quality None
[ 27/45] CSC134       California State University, S ->  47 ratings kept, avg quality 3.57
[ 28/45] CSC139       California State University, S ->   1 ratings kept, avg quality 5.0
[ 29/45] CSC241       DePaul University              ->   9 ratings kept, avg quality 4.22
[ 30/45] CSC243       DePaul University              ->   0 ratings kept, avg quality None
[ 31/45] CSCI1106     Dalhousie University           ->   2 ratings kept, avg quality 1.5
[ 32/45] CSCI2132     Dalhousie University           ->   3 ratings kept, avg quality 4.0
[ 33/45] CSCI2140     Dalhousie University           ->   3 ratings kept, avg quality 3.0
[ 34/45] CSCI2141     Dalhousie University           ->   0 ratings kept, avg quality None
[ 35/45] CSCI3120     Dalhousie University           ->   0 ratings kept, avg quality None
[ 36/45] CSCI3171     Dalhousie University           ->   0 ratings kept, avg quality None
[ 37/45] CSE325       Arizona State University       ->   0 ratings kept, avg quality None
[ 38/45] CSE539       Arizona State University       ->   0 ratings kept, avg quality None
[ 39/45] CSE6740      Georgia Institute of Technolog ->   0 ratings kept, avg quality None
[ 40/45] CSI1430      Baylor University              ->  12 ratings kept, avg quality 3.42
[ 41/45] ECE7750      Georgia Institute of Technolog ->   0 ratings kept, avg quality None
[ 42/45] ECT250       DePaul University              ->   1 ratings kept, avg quality 5.0
[ 43/45] MIS1305      Baylor University              ->   0 ratings kept, avg quality None
[ 44/45] SE433        DePaul University              ->   0 ratings kept, avg quality None
[ 45/45] STAT2000     Baruch College                 ->   0 ratings kept, avg quality None

-- SUMMARY -----------------------------------------------------------------------------
  total course-specific ratings kept: 319
