folder,course_college,course_code,college_name,ccr_url,ccr_star_rating,ccr_num_reviews,ccr_student_satisfaction,ccr_challenge_level,ccr_grade_accessibility,ccr_time_investment,ccr_attendance_importance,ccr_recommendation_rate,ccr_source
01,AY101 - University of Alabama,AY101,University of Alabama,https://collegeclassreviews.com/universities/university-of-alabama/courses/ay101,4.0,12,0.8,0.5,0.73,0.65,0.0,0.9,scraped
02,CS15122 - Carnegie Mellon University,CS15122,Carnegie Mellon University,https://collegeclassreviews.com/universities/carnegie-mellon-university/courses/cs15122,1.9,74,0.39,0.88,0.67,1.0,0.36,0.61,scraped
03,CS2110 - Cornell University,CS2110,Cornell University,https://collegeclassreviews.com/universities/cornell-university/courses/cs2110,4.3,9,0.87,0.76,1.0,0.76,0.67,1.0,scraped
04,CS5800 - Northeastern University,CS5800,Northeastern University,https://collegeclassreviews.com/universities/northeastern-university/courses/cs5800,2.5,31,0.51,0.77,0.79,0.77,0.07,1.0,scraped
05,CSE114 - Stony Brook University,CSE114,Stony Brook University,https://collegeclassreviews.com/universities/stony-brook-university/courses/cse114,1.4,22,0.28,0.84,0.58,0.89,0.62,1.0,scraped
06,CS122 - Carnegie Mellon University,CS122,Carnegie Mellon University,https://collegeclassreviews.com/universities/carnegie-mellon-university/courses/cs122,1.6,32,0.33,0.85,0.74,1.0,0.31,0.29,scraped
07,CS201 - Duke University,CS201,Duke University,https://collegeclassreviews.com/universities/duke-university/courses/cs201,4.0,68,0.8,0.53,0.97,0.58,0.36,0.97,scraped
08,CS4476 - Georgia Institute of Technology,CS4476,Georgia Institute of Technology,https://collegeclassreviews.com/universities/georgia-tech/courses/cs4476,3.2,5,0.64,0.68,1.0,0.68,0.0,1.0,scraped
09,CAP5510 - University of Florida,CAP5510,University of Florida,https://collegeclassreviews.com/universities/university-of-florida/courses/cap5510,4.3,12,0.85,0.6,1.0,0.6,0.3,0.86,scraped
10,CIS2166 - Temple University,CIS2166,Temple University,https://collegeclassreviews.com/universities/temple-university/courses/cis2166,3.1,37,0.62,0.68,0.9,0.73,0.89,0.95,scraped
11,COMP3500 - Auburn University,COMP3500,Auburn University,https://collegeclassreviews.com/universities/auburn-university/courses/comp3500,4.2,115,0.84,0.74,0.93,0.89,0.32,0.88,scraped
12,CS449 - University of Pittsburgh,CS449,University of Pittsburgh,https://collegeclassreviews.com/universities/university-of-pittsburgh/courses/cs449,3.6,67,0.72,0.81,0.91,1.0,0.11,0.98,scraped
13,CSC4480 - Villanova University,CSC4480,Villanova University,https://collegeclassreviews.com/universities/villanova-university/courses/csc4480,3.4,6,0.67,0.6,1.0,0.6,0.17,1.0,scraped
14,"CSE11 - University of California, San Diego",CSE11,"University of California, San Diego",https://collegeclassreviews.com/universities/uc-san-diego/courses/cse11,2.6,77,0.52,0.78,0.98,0.93,0.19,0.93,scraped
15,CSE150 - Stony Brook University,CSE150,Stony Brook University,https://collegeclassreviews.com/universities/stony-brook-university/courses/cse150,1.5,8,0.3,0.83,1.0,0.83,0.0,0.33,scraped
16,"CSE252A - University of California, San Diego",CSE252A,"University of California, San Diego",https://collegeclassreviews.com/universities/uc-san-diego/courses/cse252a,1.2,14,0.24,0.91,0.75,1.0,0.17,0.33,scraped
17,EC365 - Boston University,EC365,Boston University,https://collegeclassreviews.com/universities/boston-university/courses/ec365,5.0,19,0.99,0.53,1.0,0.53,0.71,1.0,scraped
18,INFO4940 - Cornell University,INFO4940,Cornell University,https://collegeclassreviews.com/universities/cornell-university/courses/info4940,2.4,9,0.47,0.71,1.0,0.71,1.0,1.0,scraped
19,CS7643 - Georgia Institute of Technology,CS7643,Georgia Institute of Technology,https://collegeclassreviews.com/universities/georgia-tech/courses/cs7643,2.6,12,0.52,0.73,1.0,0.88,0.0,0.71,scraped
20,CS3853 - University of Texas at San Antonio,CS3853,University of Texas at San Antonio,https://collegeclassreviews.com/universities/university-of-texas-san-antonio/courses/cs3853,2.9,19,0.57,0.95,0.67,0.95,0.22,0.7,scraped
21,CS537 - University of Wisconsin-Madison,CS537,University of Wisconsin-Madison,https://collegeclassreviews.com/universities/university-of-wisconsin-madison/courses/cs537,3.6,22,0.72,0.8,1.0,0.95,0.41,1.0,scraped
22,CSCI4430 - Rensselaer Polytechnic Institute,CSCI4430,Rensselaer Polytechnic Institute,https://collegeclassreviews.com/universities/rpi/courses/csci4430,1.8,20,0.35,0.87,0.83,0.97,0.0,1.0,scraped
