,ccr_star_rating,ccr_student_satisfaction,ccr_challenge_level,ccr_grade_accessibility,ccr_time_investment,ccr_attendance_importance,ccr_recommendation_rate,rmp_course_avg_quality,rmp_course_avg_difficulty,rmp_course_would_take_again_pct,rmp_prof_avg_rating_overall,slide_final,slide_layer1_course,slide_layer2
ccr_star_rating,1.0,0.999,-0.624,0.315,-0.617,0.063,0.505,0.469,-0.437,0.34,0.361,-0.396,-0.247,-0.364
ccr_student_satisfaction,0.999,1.0,-0.623,0.317,-0.615,0.059,0.507,0.465,-0.433,0.342,0.362,-0.398,-0.25,-0.363
ccr_challenge_level,-0.624,-0.623,1.0,-0.269,0.897,-0.112,-0.22,-0.282,0.588,-0.166,-0.279,0.386,0.022,0.466
ccr_grade_accessibility,0.315,0.317,-0.269,1.0,-0.228,0.013,0.294,0.112,-0.026,0.298,0.188,-0.324,-0.196,-0.324
ccr_time_investment,-0.617,-0.615,0.897,-0.228,1.0,-0.129,-0.249,-0.342,0.604,-0.184,-0.333,0.381,0.113,0.416
ccr_attendance_importance,0.063,0.059,-0.112,0.013,-0.129,1.0,-0.049,0.102,-0.082,0.002,0.144,-0.147,-0.143,-0.098
ccr_recommendation_rate,0.505,0.507,-0.22,0.294,-0.249,-0.049,1.0,0.265,-0.187,0.287,0.209,-0.021,-0.141,0.029
rmp_course_avg_quality,0.469,0.465,-0.282,0.112,-0.342,0.102,0.265,1.0,-0.56,0.527,0.856,-0.149,-0.067,-0.158
rmp_course_avg_difficulty,-0.437,-0.433,0.588,-0.026,0.604,-0.082,-0.187,-0.56,1.0,-0.27,-0.55,0.056,-0.116,0.134
rmp_course_would_take_again_pct,0.34,0.342,-0.166,0.298,-0.184,0.002,0.287,0.527,-0.27,1.0,0.553,-0.129,-0.005,-0.141
rmp_prof_avg_rating_overall,0.361,0.362,-0.279,0.188,-0.333,0.144,0.209,0.856,-0.55,0.553,1.0,-0.226,-0.205,-0.163
slide_final,-0.396,-0.398,0.386,-0.324,0.381,-0.147,-0.021,-0.149,0.056,-0.129,-0.226,1.0,0.529,0.907
slide_layer1_course,-0.247,-0.25,0.022,-0.196,0.113,-0.143,-0.141,-0.067,-0.116,-0.005,-0.205,0.529,1.0,0.188
slide_layer2,-0.364,-0.363,0.466,-0.324,0.416,-0.098,0.029,-0.158,0.134,-0.141,-0.163,0.907,0.188,1.0
