folder,course_college,course_code,college_name,ccr_star_rating,ccr_num_reviews,ccr_student_satisfaction,ccr_challenge_level,ccr_grade_accessibility,ccr_time_investment,ccr_attendance_importance,ccr_recommendation_rate,ccr_source,course_date,within3,instructor,rmp_course_num_ratings,rmp_course_avg_quality,rmp_course_avg_difficulty,rmp_course_would_take_again_pct,rmp_prof_avg_rating_overall,rmp_prof_avg_difficulty_overall,rmp_prof_num_ratings_overall,slide_status,slide_num_decks,slide_final,slide_layer1_course,slide_layer2,slide_visual_documentation,slide_abbreviation,slide_symbol,slide_visual_appeal,slide_prerequisite,slide_progression,slide_long_term_recall
01,AY101 - University of Alabama,AY101,University of Alabama,4.0,12,0.8,0.5,0.73,0.65,0.0,0.9,scraped,2026,5,Jimmy Irwin,10,4.3,2.6,100.0,4.4,2.7,12,ok,26.0,0.5033465737282133,0.43966612042939973,0.567027027027027,0.7838096883911084,0.1472069597069597,0.0,0.74605497619982,0.5212589778491106,0.78,0.35405405405405405
02,CS15122 - Carnegie Mellon University,CS15122,Carnegie Mellon University,1.9,74,0.39,0.88,0.67,1.0,0.36,0.61,scraped,2026,68,Iliano Cervesato,94,1.9,4.39,23.4,1.8,4.4,130,ok,29.0,0.5224317036438686,0.4403395977639276,0.6045238095238095,0.7775691223284545,0.017241379310344827,0.0,0.7380793196358091,0.6688081675450296,0.84,0.36904761904761907
03,CS2110 - Cornell University,CS2110,Cornell University,4.3,9,0.87,0.76,1.0,0.76,0.67,1.0,scraped,2026,16,Matt Eichhorn,16,3.81,3.75,87.5,4.2,3.7,29,ok,28.0,0.4765355235317903,0.4103787393712729,0.5426923076923077,0.5915701501320797,0.10307980360797263,0.03571428571428571,0.7521715719905693,0.5693578854114573,0.82,0.2653846153846154
04,CS5800 - Northeastern University,CS5800,Northeastern University,2.5,31,0.51,0.77,0.79,0.77,0.07,1.0,scraped,2026,8,Virgil Pavlu,28,4.04,4.39,60.7,4.2,4.3,50,ok,13.0,0.5172051842635621,0.411077035193791,0.6233333333333333,0.8047550755354749,0.0,0.0,0.7514197384819815,0.4992103619514988,0.78,0.4666666666666667
05,CSE114 - Stony Brook University,CSE114,Stony Brook University,1.4,22,0.28,0.84,0.58,0.89,0.62,1.0,scraped,2026,9,Paul Fodor,157,4.67,2.91,40.8,4.8,2.9,339,ok,16.0,0.508899845384246,0.4266285195973209,0.5911711711711711,0.6720021347082351,0.14222524154589372,0.0625,0.72999972829025,0.5264154934422257,0.84,0.34234234234234234
06,CS122 - Carnegie Mellon University,CS122,Carnegie Mellon University,1.6,32,0.33,0.85,0.74,1.0,0.31,0.29,scraped,2026,15,Iliano Cervesato,30,1.53,4.3,13.3,1.8,4.4,130,ok,29.0,0.5157922877088315,0.448413843710346,0.583170731707317,0.7759087222837633,0.05049261083743843,0.0,0.7375209362801091,0.6781469491504193,0.82,0.3463414634146341
07,CS201 - Duke University,CS201,Duke University,4.0,68,0.8,0.53,0.97,0.58,0.36,0.97,scraped,2026,23,Owen Astrachan & Alex Steiger,41,3.59,2.61,63.4,4.1,2.3,191,ok,4.0,0.5539594663770694,0.3294978801225598,0.7784210526315789,0.5114655490490133,0.04999999999999999,0.0,0.7672786923244355,0.3187451592393503,0.82,0.7368421052631579
08,CS4476 - Georgia Institute of Technology,CS4476,Georgia Institute of Technology,3.2,5,0.64,0.68,1.0,0.68,0.0,1.0,scraped,2026,9,James Hays,10,2.9,3.7,50.0,3.3,3.5,15,ok,25.0,0.47427514574422786,0.3776292388568767,0.570921052631579,0.6770632065796519,0.06086164045900519,0.0,0.7608978167586165,0.3893235304871099,0.78,0.3618421052631579
09,CAP5510 - University of Florida,CAP5510,University of Florida,4.3,12,0.85,0.6,1.0,0.6,0.3,0.86,scraped,2025,5,Tamer Kahveci,12,4.25,3.0,50.0,4.5,2.8,32,ok,9.0,0.423652725813474,0.3691236334451299,0.47818181818181815,0.6017076540216516,0.12347016839956508,0.0,0.773590506090506,0.34684983871392683,0.82,0.13636363636363635
10,CIS2166 - Temple University,CIS2166,Temple University,3.1,37,0.62,0.68,0.9,0.73,0.89,0.95,scraped,2025,13,Longin Jan Latecki,20,3.3,3.15,35.0,3.2,3.0,23,ok,11.0,0.4601074267910357,0.4239648535820714,0.49625,0.7980189432536576,0.046831955922865015,0.0,0.733554197438072,0.5414191712957623,0.68,0.3125
11,COMP3500 - Auburn University,COMP3500,Auburn University,4.2,115,0.84,0.74,0.93,0.89,0.32,0.88,scraped,2025,7,Saad Biaz,23,2.3,4.26,4.3,2.0,4.4,137,ok,8.0,0.4526883878222073,0.3898212200888591,0.5155555555555555,0.6237099916476102,0.16644420394420395,0.0,0.736143425292131,0.42280847956035045,0.72,0.3111111111111111
12,CS449 - University of Pittsburgh,CS449,University of Pittsburgh,3.6,67,0.72,0.81,0.91,1.0,0.11,0.98,scraped,2025,59,Luis Oliveira,62,3.53,4.08,64.5,3.7,3.8,95,ok,15.0,0.501954844335745,0.40273947590553255,0.6011702127659574,0.6512397828267535,0.08655407184779002,0.06666666666666667,0.7388330279129975,0.4704038302734551,0.83,0.3723404255319149
13,CSC4480 - Villanova University,CSC4480,Villanova University,3.4,6,0.67,0.6,1.0,0.6,0.17,1.0,scraped,2025,6,Ebelechukwu Nwafor,6,3.33,3.0,50.0,3.5,2.9,10,ok,14.0,0.5030015643140713,0.44425055130855506,0.5617525773195876,0.7471390961731886,0.12456170619786179,0.14285714285714285,0.7624298851250693,0.4442649261895127,0.84,0.28350515463917525
14,"CSE11 - University of California, San Diego",CSE11,"University of California, San Diego",2.6,77,0.52,0.78,0.98,0.93,0.19,0.93,scraped,2025,66,Ben Ochoa,66,2.44,3.97,28.8,2.0,4.2,130,ok,18.0,0.5853528609343306,0.526439987602927,0.6442657342657343,0.7633372161909501,0.4914021164021164,0.0,0.7668016026550117,0.6106590027665569,0.82,0.46853146853146854
15,CSE150 - Stony Brook University,CSE150,Stony Brook University,1.5,8,0.3,0.83,1.0,0.83,0.0,0.33,scraped,2025,8,R. Sekar,10,1.4,4.3,10.0,1.7,4.4,35,ok,14.0,0.5037245494301705,0.4926871940984362,0.5147619047619048,0.8870486656200942,0.26071428571428573,0.0,0.7615328069072097,0.5541402122505914,0.82,0.20952380952380953
16,"CSE252A - University of California, San Diego",CSE252A,"University of California, San Diego",1.2,14,0.24,0.91,0.75,1.0,0.17,0.33,scraped,2025,13,Ben Ochoa,17,1.41,4.41,11.8,2.0,4.2,130,ok,18.0,0.4989462088099592,0.40328924301674385,0.5946031746031746,0.6638908256219145,0.1627883342752624,0.0,0.783305638980014,0.4064614162065283,0.84,0.3492063492063492
17,EC365 - Boston University,EC365,Boston University,5.0,19,0.99,0.53,1.0,0.53,0.71,1.0,scraped,2025,12,James Feigenbaum,19,4.95,2.63,100.0,5.0,2.6,20,ok,28.0,0.4087036838798842,0.3761573677597684,0.44125,0.6949910310409743,0.013103891722312775,0.03571428571428571,0.7837653682025659,0.35321226211870316,0.82,0.0625
18,INFO4940 - Cornell University,INFO4940,Cornell University,2.4,9,0.47,0.71,1.0,0.71,1.0,1.0,scraped,2025,4,Benjamin Soltoff,4,1.0,5.0,0.0,1.3,4.6,49,ok,23.0,0.43960747295129843,0.3977863744740255,0.48142857142857143,0.5398604984751324,0.08511705685618728,0.17391304347826086,0.8224736729317992,0.36756760062874766,0.82,0.14285714285714285
