folder,course_college,course_code,college_name,course_date,within3,instructor,rmp_matched_name,rmp_status,rmp_profile_url,rmp_course_num_ratings,rmp_course_avg_quality,rmp_course_avg_difficulty,rmp_course_would_take_again_pct,rmp_prof_avg_rating_overall,rmp_prof_avg_difficulty_overall,rmp_prof_num_ratings_overall,rmp_num_reviews_in_file
01,AY101 - University of Alabama,AY101,University of Alabama,2026,5,Jimmy Irwin,Jimmy Irwin,found,https://www.ratemyprofessors.com/professor/2671852,10,4.3,2.6,100.0,4.4,2.7,12,10
02,CS15122 - Carnegie Mellon University,CS15122,Carnegie Mellon University,2026,68,Iliano Cervesato,Iliano Cervesato,found,https://www.ratemyprofessors.com/professor/2220054,94,1.9,4.39,23.4,1.8,4.4,130,94
03,CS2110 - Cornell University,CS2110,Cornell University,2026,16,Matt Eichhorn,Matthew Eichhorn,found,https://www.ratemyprofessors.com/professor/2946584,16,3.81,3.75,87.5,4.2,3.7,29,16
04,CS5800 - Northeastern University,CS5800,Northeastern University,2026,8,Virgil Pavlu,Virgiliu Pavlu,found,https://www.ratemyprofessors.com/professor/1699685,28,4.04,4.39,60.7,4.2,4.3,50,28
05,CSE114 - Stony Brook University,CSE114,Stony Brook University,2026,9,Paul Fodor,Paul Fodor,found,https://www.ratemyprofessors.com/professor/1614881,157,4.67,2.91,40.8,4.8,2.9,339,157
06,CS122 - Carnegie Mellon University,CS122,Carnegie Mellon University,2026,15,Iliano Cervesato,Iliano Cervesato,found,https://www.ratemyprofessors.com/professor/2220054,30,1.53,4.3,13.3,1.8,4.4,130,30
07,CS201 - Duke University,CS201,Duke University,2026,23,Owen Astrachan & Alex Steiger,Owen Astrachan,found,https://www.ratemyprofessors.com/professor/44522,41,3.59,2.61,63.4,4.1,2.3,191,41
08,CS4476 - Georgia Institute of Technology,CS4476,Georgia Institute of Technology,2026,9,James Hays,James Hays,found,https://www.ratemyprofessors.com/professor/2082898,10,2.9,3.7,50.0,3.3,3.5,15,10
09,CAP5510 - University of Florida,CAP5510,University of Florida,2025,5,Tamer Kahveci,Tamer Kahveci,found,https://www.ratemyprofessors.com/professor/900753,12,4.25,3.0,50.0,4.5,2.8,32,12
10,CIS2166 - Temple University,CIS2166,Temple University,2025,13,Longin Jan Latecki,Longin Jan Latecki,found,https://www.ratemyprofessors.com/professor/1134945,20,3.3,3.15,35.0,3.2,3.0,23,20
