folder,course_college,class,quality,difficulty,would_take_again,grade,date,comment,tags
01,AY101 - University of Alabama,AY101,5.0,1.0,1,A+,2021-11-08,"This was one of the few classes at Alabama that I actually found interesting and I'm a Finance Major. GO TO CLASS, he will have pop quizzes on the clickers and the answers are obvious if you just pay attention 70% of the class. Hw is easy so don't stress about that. Test are super straight forward, just study the slides he goes over in class.","Skip class? You won't pass., Beware of pop quizzes, EXTRA CREDIT"
01,AY101 - University of Alabama,AY101,3.0,4.0,1,Not sure yet,2022-02-22,"Mr. Irwin is a good professor, however he definitely makes you work for the A. He has many other opportunities to get a better grade from his in class lecture questions and homework, however this is a bit difficult if you're not a science person. GO TO CLASS. if you miss more than 8 classes, you wont pass. Very understanding though.","Accessible outside class, Skip class? You won't pass., Beware of pop quizzes"
01,AY101 - University of Alabama,AY101,4.0,3.0,1,Not sure yet,2022-03-29,"Mr. Irwin is a really good professor and super understanding. However, it's definitely not a class you're going to breeze through. You need to really study for his exams bec he likes to see his students challenged. He is very accessible outside of class but he requires you to earn your A in his class. He's a good professor, just a bit difficult.","Participation matters, Caring, Accessible outside class"
01,AY101 - University of Alabama,AY101,4.0,3.0,1,,2022-04-06,not textbook heavy notes will come from his power points which he puts on blackboard every class. The homework once a week over 2-3 chapters and 40-60 questions pretty easy to get through. Takes attendance is via online questions during class but drops 8 of the lecture questions. grading scale is less harsh compared to the normal grading scale.,"Clear grading criteria, Lecture heavy"
01,AY101 - University of Alabama,AY101,4.0,3.0,1,A-,2022-12-05,"Mr. Irwin is such a kind soul! He genuinely loves what he's teaching and responds to all of his emails. That being said, it's definitely a hard class if you're not a science person. He likes to challenge his students, and he gives clicker questions that are super easy to answer for attendance. His grading scale is less harsh than most teachers tho!","Participation matters, Beware of pop quizzes, Accessible outside class"
01,AY101 - University of Alabama,AY101,5.0,3.0,1,A+,2023-11-07,"Professor Irwin is so great, and this class was so interesting. He takes attendance through clicker questions (easy), but you get 8 free absences. Lectures are long but interesting. Easily accessible during office hours. Easy homework, and tests are straightforward. Great class, would highly recommend Dr. Irwin.","Participation matters, Lecture heavy, Accessible outside class"
01,AY101 - University of Alabama,AY101,5.0,1.0,1,A,2023-12-15,"Irwin is very passionate about his material and teaches it in an effective way. Don't let reviews of difficult tests scare you, as long as you actually show up and pay some attention, the tests are very easy and up front. He's a great guy on top of that and wants the best for his students.","Clear grading criteria, Caring, Lecture heavy"
01,AY101 - University of Alabama,AY101,4.0,3.0,1,B+,2024-01-02,"He is a good professor; astronomy isn't something that I cared about enough to pay good attention to. An 85 is an A-, so take that as you will. You get 8 missed classes, but it is graded by in-class questions pertaining to the lecture, and it is scantron tests","Participation matters, Clear grading criteria, Lecture heavy"
01,AY101 - University of Alabama,AY101,5.0,3.0,1,B+,2024-01-10,I loved him! I took this class for a science credit and it was well worth it. Definitely recommend!,"Amazing lectures, Clear grading criteria, Accessible outside class"
01,AY101 - University of Alabama,AY101,4.0,2.0,1,A-,2025-11-13,"Irwin is a great professor for Aystronomy 101 your grade depends on tests, attendance quizzes (although your lowest 12 get dropped) I studied the night before exams with his provided study guides or just google a quizlet and you'll be able to pass (his grading scale is different so don't freak out 86 is an a and his class).","Participation matters, Clear grading criteria, Gives good feedback"
02,CS15122 - Carnegie Mellon University,CS15122,3.0,4.0,0,A-,2017-04-28,"Not bad, but his lectures are very hard to understand. Don't worry, though, the lecture notes are quite comprehensive.","LOTS OF HOMEWORK, Clear grading criteria, Caring"
02,CS15122 - Carnegie Mellon University,CS15122,1.0,4.0,0,B,2017-12-18,"Iliano is the least caring professor on the face of the planet. He thinks that curves are only in place to accommodate for mediocre students. However, there are other factors like tough tests and terrible teachers.","BEWARE OF POP QUIZZES, Tests are tough"
02,CS15122 - Carnegie Mellon University,CS15122,1.0,4.0,0,,2018-09-12,"Course material was good, class was horrible. Written assignments were a guessing game of &quot;What does Iliano want?&quot; Not fun. Did better after not going to lecture. :(","LOTS OF HOMEWORK, BEWARE OF POP QUIZZES"
02,CS15122 - Carnegie Mellon University,CS15122,2.0,5.0,0,,2018-10-15,It's so hard to hear what he is saying and his accent is thick. Everyone falls asleep in his lecture which means you need to take time out to read lecture notes in order to know what you were supposed to learn. His TAs are terrible and I can never make his office hours. I wish I didn't have to take this course with him,BEWARE OF POP QUIZZES
02,CS15122 - Carnegie Mellon University,CS15122,4.0,5.0,1,,2019-01-13,"Iliano's lectures are a great complement to lecture notes. While lectures notes are ultimately more essential, his lectures give a good reasoning for the material we learn. I have been to his office hours and he tried to help me become an independent learner rather than depending on help. He's a nice guy and a tough professor.","Tough Grader, LOTS OF HOMEWORK, Caring"
02,CS15122 - Carnegie Mellon University,CS15122,5.0,4.0,1,,2019-04-22,"Iliano teaches really well, and his lecture flows are pretty good. He leads you from simple ideas and go to more complex ones. If you follow along, his lectures are pretty helpful in understanding the context. I got intimidated by the reviews on this website prior to selecting the course, but he's actually a very nice guy. Encourages learning.","Inspirational, Test heavy, Beware of pop quizzes"
02,CS15122 - Carnegie Mellon University,CS15122,1.0,4.0,0,Not sure yet,2019-10-07,If you want to do well in written homework... you'd better be good at guessing what iliano wants you to do.,"Lots of homework, Skip class? You won't pass., Tough grader"
02,CS15122 - Carnegie Mellon University,CS15122,4.0,4.0,1,,2020-05-15,"I honestly don't understand why people are so critical of this class. I really enjoyed the course, and the grading structure (how much of your grade counts based on exams) imo is very fair. There are many things you can read to help get you to understand the material without the lectures, and OH lines are never long.",Beware of pop quizzes
02,CS15122 - Carnegie Mellon University,CS15122,1.0,4.0,0,,2020-08-01,"Has completely taken all the fun out of learning computer science. Although the course content is important, it is taught in a way that doesn't show its practicality, which makes it a huge slog to the end. The things we learn at the beginning of the course suddenly become moot when we transition to learning a new language at the end.","Lots of homework, Lecture heavy, Tough grader"
02,CS15122 - Carnegie Mellon University,CS15122,4.0,5.0,1,B,2020-08-08,"I dont think he deserves the grade he gets, hes actually a great professor. The class is just really hard and I think thats why people often score him so low but I dont think the difficultly changes between whichever prof you take it with.","Test heavy, Clear grading criteria, Tough grader"
02,CS15122 - Carnegie Mellon University,CS15122,1.0,5.0,0,B,2020-11-21,Avoid at all costs if possible. Really unsupportive and does not really care about students.,"Lots of homework, Participation matters, Beware of pop quizzes"
02,CS15122 - Carnegie Mellon University,CS15122,3.0,2.0,1,A,2021-01-25,"Iliano is not a terrible professor, but his lectures are pretty boring. I did fine in the class by attending supplemental instruction sessions once a week rather than watching lecture. You were able to see your predicted grade throughout the course. I think the difficulty rating is deceiving; the hw is doable, just needs more time than some give it",Lecture heavy
02,CS15122 - Carnegie Mellon University,CS15122,1.0,4.0,0,A,2021-03-06,"Literally the worst. Absolute Garbage. Cannot tell you enough avoid his course (15122) at all costs, and only take it if it's absolutely necessary (required by your major).",Tough grader
02,CS15122 - Carnegie Mellon University,CS15122,1.0,5.0,0,Drop/Withdrawal,2021-06-02,DO NOT TAKE HIS COURSE. Iliano was hands down the most uncaring and straight up mean-spirited professors I have ever had. He goes out of his way to humiliate and degrade his students. He caused me to have a full blown panic attack in the bathroom of Gates,"Test heavy, Tough grader"
02,CS15122 - Carnegie Mellon University,15122C,2.0,3.0,0,B,2021-06-04,"Iliano is intimidating. Meeting with him one on one made me a little scared and judged. That being said, he knows his stuff. He is smart and gives interesting lectures. Just not approachable.",Tough grader
02,CS15122 - Carnegie Mellon University,CS15122,1.0,5.0,0,,2021-06-22,"Quite possibly one of the worst professors I've ever had at CMU. If this class isn't a requirement for you, do not take it. If it is, grind on the homeworks because you will do miserably on all the exams.",
02,CS15122 - Carnegie Mellon University,CS15122,1.0,1.0,0,,2021-11-21,RRRRRRUUUUUUNNNNNNN,"Lots of homework, Test heavy, Tough grader"
