course_college	course_code	num_ratings	link
CSC476 - American University	CSC476	6	https://calpoly-iandunn.github.io/csc476/lectures/
CIS541 - Arizona State University	CIS541	8	https://calpoly-iandunn.github.io/csc476/lectures/
CS310 - Arizona State University	CS310	6	https://amessbee.github.io/310S26/
CSE220 - Arizona State University	CSE220	4	https://github.com/amirun-nahin/CSE220/blob/main/Lecture%20Slide/CSE220_L0.pdf
CSE240 - Arizona State University	CSE240	44	http://javiergs.com/teaching/cse240/
CSE259 - Arizona State University	CSE259	20	https://github.com/Waqar-107/ASU-CSE-259-Prolog
CSE325 - Arizona State University	CSE325	15	https://mpslab-asu.github.io/publications/slides/Kim2019VLSID.pptx
CSE512 - Arizona State University	CSE512	22	https://courses.cs.washington.edu/courses/cse512/25sp/index.html
CSE539 - Arizona State University	CSE539	5	https://jedcrandall.github.io/courses/cse539spring2023/
COMP3220 - Auburn University	COMP3220	9	https://github.com/gongzhitaao/comp3220
MIS3690 - Babson College	MIS3690	7	https://github.com/gscholer/OIM3690-resources/blob/main/slides
CIS3550 - Baruch College	CIS3550	15	https://academicworks.cuny.edu/bb_oers/5/
STAT2000 - Baruch College	STAT2000	17	https://blogs.baruch.cuny.edu/blsci/students/resources/model-slides/
CSI1430 - Baylor University	CSI1430	5	https://github.com/xiangmind/csi_1430
MIS1305 - Baylor University	MIS1305	8	https://business.baylor.edu/gina_green/teaching/mis1305/summ15/lectures/class_setup.pptx
CS605 - Bentley University	CS605	9	https://vulms.vu.edu.pk/Courses/CS605/Downloads/SoftwareEngineeringII.pdf
CS240 - Binghamton University	CS240	6	https://github.com/RichardLee0211/CS240DS_Lewis
CS402 - Binghamton University	CS402	5	https://github.com/niMgnoeSeeL/CS402/blob/master/cs402-slide09-handout.pdf
CS550 - Binghamton University	CS550	4	http://www.cs.binghamton.edu/~huilu/cs550.html
CS566 - Boston University	CS566	4	https://people.bu.edu/zlateva/cs566/home.html
CS611 - Boston University	CS611	29	https://vulms.vu.edu.pk/Courses/CS611/Downloads/CS611%20Handouts.pdf
DS110 - Boston University	DS110	23	https://dl4ds.github.io/sp2025/lectures/
1JC3 - McMaster University	1JC3	29	https://github.com/chowdhaj/McMaster/tree/main/My%20Courses/CompSci%201JC3
2DM3 - McMaster University	2DM3	21	https://github.com/chowdhaj/McMaster
2GA3 - McMaster University	2GA3	17	https://github.com/chowdhaj/McMaster/tree/main/My%20Courses/CompSci%202GA3/2021/Slides
4HC3 - McMaster University	4HC3	5	https://github.com/chowdhaj/McMaster/tree/main/My%20Courses/CompSci%204HC3
CIS15 - Brooklyn College	CIS15	41	https://huichen-cs.github.io/course/CISC3115/24SP/syllabus/
CIS52 - Brooklyn College	CIS52	10	http://eilat.sci.brooklyn.cuny.edu/cis52/
CISC1050 - Brooklyn College	CISC1050	5	http://www.sci.brooklyn.cuny.edu/~dzhu/cisc1050/
CISC1115 - Brooklyn College	CISC1115	72	https://huichen-cs.github.io/course/CISC1115/24SP/syllabus/
CISC1600 - Brooklyn College	CISC1600	5	http://www.sci.brooklyn.cuny.edu/~meyer/CISC1600/
CISC2210 - Brooklyn College	CISC2210	25	https://www.sci.brooklyn.cuny.edu/~briskman/cisc/2210/lecture_notes/topic_07/01.html
CISC3130 - Brooklyn College	CISC3130	39	https://libguides.brooklyn.cuny.edu/cisc3130/schedule
CISC3171 - Brooklyn College	CISC3171	4	https://huichen-cs.github.io/course/CISC3171/23SP/syllabus/
CS0015 - Brown University	CS0015	6	https://cs.brown.edu/courses/cs015/
CS141 - Brown University	CS141	6	https://csci1410-2023.vercel.app/
CSC134 - California State University, Sacramento	CSC134	25	https://zedchance.github.io/notes/134-6.pdf
CS208 - Carleton College	CS208	6	https://cs.carleton.edu/faculty/jondich/courses/cs208_w26/
CS150 - Carnegie Mellon University	CS150	5	https://www.cs.cmu.edu/~15150/lect.html
CS15110 - Carnegie Mellon University	CS15110	4	https://www.cs.cmu.edu/~15110-f12/lectures.html
CS15281 - Carnegie Mellon University	CS15281	10	https://www.cs.cmu.edu/~./15281/
CS213 - Carnegie Mellon University	CS213	5	https://www.cs.cmu.edu/afs/cs/academic/class/15213-f01/www/lectures.html
CPSC1010 - Clemson University	CPSC1010	19	http://andrewd.ces.clemson.edu/courses/cpsc111/lectures/lectures/Chp%2000%20-%20Introduction/chp00-slides.pptx
CPSC102 - Clemson University	CPSC102	4	http://andrewd.ces.clemson.edu/courses/cpsc102/spring20/slides/11C++%20Classes%20Part%203.pptx
CSCI403 - Colorado School of Mines	CSCI403	12	https://cs-courses.mines.edu/csci403/spring2020/
COMS4995 - Columbia University	COMS4995	149	https://amueller.github.io/COMS4995-s20/slides/aml-01-introduction/
EECS6893 - Columbia University	EECS6893	5	https://www.ee.columbia.edu/~cylin/course/bigdata/
ECE160 - Cooper Union	ECE160	4	https://cooper.edu/engineering/courses/electrical-and-computer-engineering-undergraduate/ece-160
CS100M - Cornell University	CS100M	36	https://www.cs.cornell.edu/courses/cs100m/2008sp/Notes/notes.html
CS1110 - Cornell University	CS1110	6	https://www.cs.cornell.edu/courses/cs1110/2016sp/lectures/index.php.html
CS2110 - Cornell University	CS2110	9	https://www.cs.cornell.edu/courses/cs2110/2026sp/
CS2800 - Cornell University	CS2800	33	https://www.cs.cornell.edu/courses/cs2800/2009fa/notes.htm
CS4320 - Cornell University	CS4320	15	http://www.databaselecture.com/
CS4780 - Cornell University	CS4780	4	https://www.cs.cornell.edu/courses/cs4780/2022sp/
CSCI1106 - Dalhousie University	CSCI1106	4	https://hallab.cs.dal.ca/CSCI1106
CSCI1170 - Dalhousie University	CSCI1170	28	https://web.cs.dal.ca/~tt/fundamentals/slides/
CSCI2132 - Dalhousie University	CSCI2132	10	https://web.cs.dal.ca/~vlado/csci2132/slides/sd01-slides.pdf
CSCI2141 - Dalhousie University	CSCI2141	25	https://web.cs.dal.ca/~hawkey/2141/index.htm
CSCI3120 - Dalhousie University	CSCI3120	21	https://www.cs.dal.ca/~hawkey/3120/May5Intro.ppt
CSCI3130 - Dalhousie University	CSCI3130	28	https://web.cs.dal.ca/~arc/teaching/CS3130/index.html
CSCI3151 - Dalhousie University	CSCI3151	10	https://web.cs.dal.ca/~rudzicz/Teaching/CSCI3151/2026/
CSCI3171 - Dalhousie University	CSCI3171	21	https://web.cs.dal.ca/~eem/3171/
CSC241 - DePaul University	CSC241	87	https://reed.cs.depaul.edu/lperkovic/csc241/
CSC243 - DePaul University	CSC243	22	http://reed.cs.depaul.edu/lperkovic/csc243/
ECT250 - DePaul University	ECT250	9	http://facweb.cs.depaul.edu/asettle/research/ect250/notes/introduction.ppt
IT130 - DePaul University	IT130	29	http://facweb.cs.depaul.edu/mobasher/classes/it130/schedule.htm
IT230 - DePaul University	IT230	4	http://facweb.cs.depaul.edu/sjost/it230/notes.htm
SE433 - DePaul University	SE433	4	https://condor.depaul.edu/dmumaugh/se433/
CS065 - Drake University	CS065	18	https://analytics.drake.edu/~reza/teaching/cs65_fall25/lecture_slides/
CS167 - Drake University	CS167	9	https://analytics.drake.edu/~reza/teaching/cs167_sp26/lecture_slides/
COMPS101L - Duke University	COMPS101L	4	https://courses.cs.duke.edu/spring25/compsci101/lects/slides/250109/cps101-250109lect.pdf
CPS100 - Duke University	CPS100	16	https://courses.cs.duke.edu/fall01/cps100/materials.html
CPS108 - Duke University	CPS108	5	https://courses.cs.duke.edu/cps108/spring03/notes/
CS203 - Duke University	CS203	5	https://github.com/ktk53x/Course_Material/blob/master/CS203%20Lectures%20and%20Homework/hw2.pdf
CS330 - Duke University	CS330	19	https://courses.cs.duke.edu/spring26/compsci330/lectures.html
CS371 - Duke University	CS371	4	https://courses.cs.duke.edu/fall19/compsci371d/slides/
ECE250 - Duke University	ECE250	18	https://people.duke.edu/~tkb13/courses/ece250-2025su/slides/01-intro.pdf
ECE350 - Duke University	ECE350	4	https://github.com/jzarnett/ece350/tree/main/lectures/compiled
CS600 - East Carolina University	CS600	13	http://wangshusen.github.io/teaching/CS600A21Fall/index.html
CSCI1010 - East Carolina University	CSCI1010	20	https://github.com/Mao-ECU/Fall2021_CSCI1010
CSCI2540 - East Carolina University	CSCI2540	13	https://github.com/guyr18/CSCI-2540
CIS335 - Eastern Michigan University	CIS335	6	https://rahatibnrafiq.github.io/cis335/
CSC121 - Eastern Michigan University	CSC121	24	https://kawilliams.github.io/teaching/csc121/
CS171 - Emory University	CS171	37	https://www.cs.emory.edu/~cs171000/share/slides/
CGS1100 - Florida Gulf Coast University	CGS1100	92	http://ruby.fgcu.edu/courses/mhepp/cgs1100-1a.pdf
CEN4010 - Florida International University	CEN4010	21	https://users.cs.fiu.edu/~clarkep/courses/Fall2005/cen4010/syllabus.html
COP4338 - Florida International University	COP4338	95	https://users.cis.fiu.edu/~weiss/cop4338_sum03/
EGN1002 - Florida International University	EGN1002	7	https://web.eng.fiu.edu/ARELLANO/1002/1Introduction/IntroductionS.pptx
CS1301 - Georgia Institute of Technology	CS1301	290	https://faculty.cc.gatech.edu/~bleahy/
CS1315 - Georgia Institute of Technology	CS1315	37	https://faculty.cc.gatech.edu/~bleahy/cs1315/
CS3001 - Georgia Institute of Technology	CS3001	20	http://www.munmund.net/CS3001C_Spring2022.html
CS4470 - Georgia Institute of Technology	CS4470	4	https://sites.cc.gatech.edu/classes/AY2001/cs4470_fall/
CS6750 - Georgia Institute of Technology	CS6750	12	https://sites.cc.gatech.edu/computing/classes/AY2010/cs6750_fall/
CSE6740 - Georgia Institute of Technology	CSE6740	7	https://faculty.cc.gatech.edu/~zk15/teaching/AY2025_cs7643_spring/index.html
ECE2020 - Georgia Institute of Technology	ECE2020	94	https://samueltalkington.com/teaching/ece2020/
ECE6100 - Georgia Institute of Technology	ECE6100	5	https://hsienhsinlee.github.io/course_slides/ECE6100.html
ECE6254 - Georgia Institute of Technology	ECE6254	4	https://mdav.ece.gatech.edu/ece-6254-spring2024/notes/
CS7637 - Georgia Institute of Technology	CS7637	5	https://github.com/parthi2929/gt_cs7637/tree/master/Slides
ECE7750 - Georgia Institute of Technology	ECE7750	4	https://vmuthukumar.ece.gatech.edu/teaching-advising/ece-7750-mathematical-foundations-of-machine-learning-fall-2025/
CS109 - Harvard University	CS109	11	https://cs109.github.io/2015/pages/videos.html
CSC005 - Hofstra University	CSC005	42	https://cs.hofstra.edu/~cscvjc/Fall06/
CSC161 - Hofstra University	CSC161	9	https://curtsinger.cs.grinnell.edu/teaching/2026S/CSC161/
CSCI300 - Indiana University-Purdue University Indianapolis	CSCI300	6	https://csci0300.github.io/schedule/
COMS207 - Iowa State University	COMS207	11	https://home.engineering.iastate.edu/alexs/classes/2006_Spring_207/slides/01_Intro.ppt
CPRE416 - Iowa State University	CPRE416	4	https://class.ece.iastate.edu/kothari/cpre416/
CSCI2820 - University of Colorado Boulder	CSCI2820	9	https://home.cs.colorado.edu/~alko5368/indexCSCI2820.html
CSCI3022 - University of Colorado Boulder	CSCI3022	31	https://home.cs.colorado.edu/~ketelsen/files/courses/csci3022/slides/
COMP1210 - Auburn University	COMP1210	30	https://www.eng.auburn.edu/~cross/comp1210/table_of_contents.html
COMP5630 - Auburn University	COMP5630	42	https://bonsai.auburn.edu/dtauritz/courses/ec/intro/2020fall/
CS15112 - Carnegie Mellon University	CS15112	25	https://www.cs.cmu.edu/~112-f23/
CS15122 - Carnegie Mellon University	CS15122	74	https://www.cs.cmu.edu/~15122/handouts.shtml
CS15150 - Carnegie Mellon University	CS15150	8	https://web2.qatar.cmu.edu/cs/15150/
CS15251 - Carnegie Mellon University	CS15251	6	http://www.cs.cmu.edu/~15251/
ECE240 - Carnegie Mellon University	ECE240	5	https://courses.ece.cmu.edu/18240
