Professors to fetch: 300 (already done: 0)
  [1/300] Manya Ghobadi (id=2654726) ... ok (10 ratings)
  [2/300] Ghani Zahid (id=2722869) ... ok (4 ratings)
  [3/300] Stephen Ward (id=121248) ... ok (6 ratings)
  [4/300] Albert Meyer (id=95063) ... ok (9 ratings)
  [5/300] Azizi Othman (id=3040715) ... ok (8 ratings)
  [6/300] Adam Hartz (id=2754979) ... ok (2 ratings)
  [7/300] Herbert Sawin (id=21108) ... ok (11 ratings)
  [8/300] Chris Tanner (id=2899000) ... ok (3 ratings)
  [9/300] Zhuoxuan Li (id=3145859) ... ok (7 ratings)
  [10/300] Robert Morris (id=121198) ... ok (5 ratings)
  [11/300] Norvin Richards (id=622889) ... ok (6 ratings)
  [12/300] Jackson Lu (id=3016488) ... ok (6 ratings)
  [13/300] David Jerison (id=103718) ... ok (75 ratings)
  [14/300] John Guttag (id=1919547) ... ok (4 ratings)
  [15/300] Denis Auroux (id=334553) ... ok (61 ratings)
  [16/300] Vladimir Lenin (id=3163395) ... ok (3 ratings)
  [17/300] Alan Adams (id=1177065) ... ok (9 ratings)
  [18/300] Noam Chomsky (id=1506177) ... ok (6 ratings)
  [19/300] Haynes R. Miller (id=144636) ... ok (22 ratings)
  [20/300] Kirk Kolenbrander (id=3080753) ... ok (3 ratings)
  [21/300] Gilbert Strang (id=800239) ... ok (72 ratings)
  [22/300] Esther Duflo (id=791556) ... ok (6 ratings)
  [23/300] Andrew Whittle (id=473441) ... ok (5 ratings)
  [24/300] Franz Hover (id=1050067) ... ok (4 ratings)
  [25/300] Christopher Cummins (id=352232) ... ok (14 ratings)
  [26/300] Asuman Ozdaglar (id=121204) ... ok (5 ratings)
  [27/300] David Autor (id=655707) ... ok (12 ratings)
  [28/300] Zhuoheng Wu (id=3145850) ... ok (2 ratings)
  [29/300] Yonina Eldar (id=3043045) ... ok (60 ratings)
  [30/300] Sara Fisher-Ellison (id=2231286) ... ok (7 ratings)
  [31/300] Calvin Zhong (id=3092158) ... ok (1 ratings)
  [32/300] Dimitris Bertsimas (id=2461189) ... ok (1 ratings)
  [33/300] Michael Sipser (id=99389) ... ok (10 ratings)
  [34/300] John Gabrieli (id=1335022) ... ok (4 ratings)
  [35/300] Jeremy Hahn (id=2845602) ... ok (2 ratings)
  [36/300] Max Tegmark (id=761785) ... ok (10 ratings)
  [37/300] Barton Zwiebach (id=562630) ... ok (13 ratings)
  [38/300] John Urschel (id=2935608) ... ok (2 ratings)
  [39/300] Hartley Jr. Rogers (id=144641) ... ok (15 ratings)
  [40/300] Hong Liu (id=1139536) ... ok (5 ratings)
  [41/300] Mehran Kardar (id=1918547) ... ok (2 ratings)
  [42/300] Julien Tailleur (id=3072296) ... ok (1 ratings)
  [43/300] Jeremy Orloff (id=784579) ... ok (3 ratings)
  [44/300] Peter Dourmashkin (id=409757) ... ok (32 ratings)
  [45/300] Wendy Gilbert (id=2164550) ... ok (3 ratings)
  [46/300] Elizabeth Vogel-Taylor (id=1201822) ... ok (13 ratings)
  [47/300] Elizabeth  Harrison Lepera (id=2045384) ... ok (2 ratings)
  [48/300] Janet Conrad (id=3066902) ... ok (1 ratings)
  [49/300] Gordan Freeman (id=2079919) ... ok (2 ratings)
  [50/300] Alex Postnikov (id=1558773) ... ok (2 ratings)
  [51/300] TL Taylor (id=3027398) ... ok (1 ratings)
  [52/300] Kamal Youcef-Toumi (id=799021) ... ok (4 ratings)
  [53/300] Ana Mikusheva (id=2158572) ... ok (4 ratings)
  [54/300] Louie Wurch (id=1253795) ... ok (4 ratings)
  [55/300] Kenneth Oye (id=423126) ... ok (5 ratings)
  [56/300] Ian Hunter (id=1003625) ... ok (3 ratings)
  [57/300] Lex Fridman (id=2723108) ... ok (2 ratings)
  [58/300] Philip Hemmer (id=2987341) ... ok (1 ratings)
  [59/300] Steven Leeb (id=121181) ... ok (20 ratings)
  [60/300] Yue Zhu (id=2973770) ... ok (1 ratings)
  [61/300] Moe Win (id=1187925) ... ok (66 ratings)
  [62/300] Srini Devadas (id=2500018) ... ok (2 ratings)
  [63/300] Sally Haslanger (id=1734202) ... ok (1 ratings)
  [64/300] Leonid Kogan (id=1456566) ... ok (4 ratings)
  [65/300] Arian El-Taher (id=2733486) ... ok (3 ratings)
  [66/300] Richard Wurtman (id=121090) ... ok (3 ratings)
  [67/300] Alexandre Jacquillat (id=2930190) ... ok (1 ratings)
  [68/300] Gordon Freeman (id=547286) ... ok (18 ratings)
  [69/300] John Bush (id=342455) ... ok (10 ratings)
  [70/300] John Tsitsiklis (id=2133145) ... ok (4 ratings)
  [71/300] Regina Barzilay (id=2814706) ... ok (3 ratings)
  [72/300] Olivier de Weck (id=2906894) ... ok (1 ratings)
  [73/300] Daniel Sanchez (id=2347282) ... ok (7 ratings)
  [74/300] William Minicozzi (id=1867667) ... ok (5 ratings)
  [75/300] Erik Demaine (id=1315500) ... ok (4 ratings)
  [76/300] Fadel Adib (id=2502540) ... ok (1 ratings)
  [77/300] Guy Bresler (id=2790183) ... ok (1 ratings)
  [78/300] Ben Mangrum (id=2844713) ... ok (1 ratings)
  [79/300] Chad Trotter (id=2841701) ... ok (1 ratings)
  [80/300] Alar Toomre (id=134389) ... ok (22 ratings)
  [81/300] Gaurav Raghav (id=1693740) ... ok (2 ratings)
  [82/300] Adam Martin (id=2335783) ... ok (2 ratings)
  [83/300] Jessika Trancik (id=1757310) ... ok (1 ratings)
  [84/300] Matt Blum (id=1667787) ... ok (1 ratings)
  [85/300] Ali Jadbabaie (id=2790449) ... ok (1 ratings)
  [86/300] Andrew Lo (id=251734) ... ok (5 ratings)
  [87/300] Joseph Sussman (id=813039) ... ok (3 ratings)
  [88/300] Arthur Mattuck (id=125151) ... ok (55 ratings)
  [89/300] Simona Socrate (id=231197) ... ok (13 ratings)
  [90/300] Devavrat Shah (id=2714720) ... ok (1 ratings)
  [91/300] Adrian Lozano-Duran (id=2779768) ... ok (1 ratings)
  [92/300] John Belcher (id=398125) ... ok (12 ratings)
  [93/300] Michael Artin (id=255193) ... ok (17 ratings)
  [94/300] Cathy Drennan (id=144618) ... ok (18 ratings)
  [95/300] Larry Guth (id=2760193) ... ok (1 ratings)
  [96/300] Ron Prinn (id=2739646) ... ok (1 ratings)
  [97/300] Shuhei Ono (id=2739640) ... ok (1 ratings)
  [98/300] Mohamed Abdelhafez (id=2738610) ... ok (1 ratings)
  [99/300] Bjorn Poonen (id=1527668) ... ok (4 ratings)
  [100/300] Michael Short (id=2632346) ... ok (1 ratings)
  [101/300] Eric Lander (id=162394) ... ok (32 ratings)
  [102/300] Alan Grodzinsky (id=121150) ... ok (11 ratings)
  [103/300] Steven Hall (id=2147406) ... ok (1 ratings)
  [104/300] Ikue Shingu (id=141310) ... ok (7 ratings)
  [105/300] Donald Sadoway (id=81483) ... ok (43 ratings)
  [106/300] Wolfie Ketterle (id=87635) ... ok (11 ratings)
  [107/300] Jesse  Thaler (id=2065253) ... ok (5 ratings)
  [108/300] Xiao-Gang Wen (id=1095028) ... ok (2 ratings)
  [109/300] Craig Watkins (id=784578) ... ok (5 ratings)
  [110/300] Lydia Bourouiba (id=2628279) ... ok (5 ratings)
  [111/300] Ro'ee Levy (id=2654686) ... ok (2 ratings)
  [112/300] ZIYANG WANG (id=2163503) ... ok (4 ratings)
  [113/300] Debayan Gupta (id=2218090) ... ok (8 ratings)
  [114/300] Alan Guth (id=1139554) ... ok (6 ratings)
  [115/300] Ekene Ijeoma (id=2572074) ... ok (1 ratings)
  [116/300] Pablo Parrilo (id=831180) ... ok (6 ratings)
  [117/300] Davesh Maulik (id=2523272) ... ok (1 ratings)
  [118/300] Lallit Anand (id=2522509) ... ok (1 ratings)
  [119/300] Ibrahim Cisse (id=2495680) ... ok (1 ratings)
  [120/300] Ben Sawyer (id=2337495) ... ok (3 ratings)
  [121/300] Christopher Capozzola (id=540293) ... ok (3 ratings)
  [122/300] James Orlin (id=466352) ... ok (3 ratings)
  [123/300] Charles Sodini (id=121231) ... ok (6 ratings)
  [124/300] Antonio Martins (id=2482814) ... ok (2 ratings)
  [125/300] Mary Cummings (id=814216) ... ok (2 ratings)
  [126/300] Joseph Sadighi (id=260763) ... ok (8 ratings)
  [127/300] Shafrira Goldwasser (id=121145) ... ok (11 ratings)
  [128/300] Amy Moran-Thomas (id=2416726) ... ok (2 ratings)
  [129/300] Steve Van Evera (id=247713) ... ok (7 ratings)
  [130/300] Yen-Jie Lee (id=1907037) ... ok (2 ratings)
  [131/300] Steven Johnson (id=1084038) ... ok (5 ratings)
  [132/300] Hae-Seung Lee (id=2414362) ... ok (1 ratings)
  [133/300] Paul Seidel (id=1478771) ... ok (3 ratings)
  [134/300] Gene-Wei Li (id=2316097) ... ok (1 ratings)
  [135/300] Kevin Park (id=2173304) ... ok (1 ratings)
  [136/300] Muriel Medard (id=95058) ... ok (8 ratings)
  [137/300] Amos Winter (id=1786997) ... ok (1 ratings)
  [138/300] Greg Sabin (id=2372685) ... ok (1 ratings)
  [139/300] Kimberly Berkowski (id=774737) ... ok (11 ratings)
  [140/300] Tom Leighton (id=2306126) ... ok (1 ratings)
  [141/300] Ronald Rivest (id=121215) ... ok (2 ratings)
  [142/300] Alexander Klibanov (id=1853299) ... ok (2 ratings)
  [143/300] Mohammed Movassaghi (id=2332208) ... ok (1 ratings)
  [144/300] Roger Kamm (id=1290853) ... ok (2 ratings)
  [145/300] Jeff Colner (id=1738924) ... ok (2 ratings)
  [146/300] Joel Voldman (id=121246) ... ok (3 ratings)
  [147/300] William Hunting (id=2283278) ... ok (1 ratings)
  [148/300] Brian Subirana (id=936817) ... ok (3 ratings)
  [149/300] Yufei Zhao (id=2282381) ... ok (1 ratings)
  [150/300] Moungi Bawendi (id=144127) ... ok (7 ratings)
  [151/300] Patrick Winston (id=95059) ... ok (14 ratings)
  [152/300] Neil Gershenfeld (id=2143893) ... ok (1 ratings)
  [153/300] Neil Gerschenfeld (id=2268510) ... ok (1 ratings)
  [154/300] Robert Jaffe (id=562629) ... ok (6 ratings)
  [155/300] David Trumper (id=2260113) ... ok (1 ratings)
  [156/300] Nicolas Hadjiconstantinou (id=2260117) ... ok (1 ratings)
  [157/300] Jesus Alamo (id=121120) ... ok (9 ratings)
  [158/300] David Perreault (id=2256500) ... ok (1 ratings)
  [159/300] Jonathan Hersh (id=2179539) ... ok (1 ratings)
  [160/300] Christian Catalini (id=1834017) ... ok (4 ratings)
  [161/300] Enectali Feliciano (id=955581) ... ok (3 ratings)
  [162/300] Donca Steriade (id=893325) ... ok (6 ratings)
  [163/300] Tom Greytak (id=245687) ... ok (7 ratings)
  [164/300] Peter Fisher (id=144653) ... ok (5 ratings)
  [165/300] Saul Rappaport (id=345798) ... ok (4 ratings)
  [166/300] Wit Buzca (id=613976) ... ok (4 ratings)
  [167/300] Bruno Coppi (id=669311) ... ok (3 ratings)
  [168/300] George Apostolakis (id=712896) ... ok (9 ratings)
  [169/300] Stanley Kowalski (id=287926) ... ok (16 ratings)
  [170/300] Daniel Jackson (id=121166) ... ok (6 ratings)
  [171/300] Christopher Knittel (id=2239597) ... ok (1 ratings)
  [172/300] Krishna Rajagopal (id=1906467) ... ok (1 ratings)
  [173/300] Anant Agarwal (id=121092) ... ok (27 ratings)
