category	course_college	url	reason
good	CS213 - Carnegie Mellon University	https://www.cs.cmu.edu/afs/cs/academic/class/15213-f01/www/lectures.html	
good	CS2303 - Worcester Polytechnic Institute	https://web.cs.wpi.edu/~cs2303/c10/Protected/Lectures-C10/Week0_Introduction.ppt	
good	CPS108 - Duke University	https://courses.cs.duke.edu/cps108/spring03/notes/	multipaged ppts
good	CS1315 - Georgia Institute of Technology	https://faculty.cc.gatech.edu/~bleahy/cs1315/	
good	CEN4010 - Florida International University	https://users.cs.fiu.edu/~clarkep/courses/Fall2005/cen4010/syllabus.html	
good	CPRE416 - Iowa State University	https://class.ece.iastate.edu/kothari/cpre416/	
good	CEG402 - Wright State University	https://cecs.wright.edu/~bwang/course/ceg402/Lecture1.ppt	
good	COMS207 - Iowa State University	https://home.engineering.iastate.edu/alexs/classes/2006_Spring_207/slides/01_Intro.ppt	
good	CS1502 - University of Pittsburgh	https://people.cs.pitt.edu/~wiebe/courses/CS1502/lectures/	
good	SENG474 - University of Victoria	https://webhome.cs.uvic.ca/~thomo/seng474/index.html	
good	CS458 - University of Waterloo	https://crysp.uwaterloo.ca/courses/cs458/F08-lectures/	
good	ITCS6114 - University of North Carolina at Charlotte	https://webpages.charlotte.edu/ras/ITCS6114.html	
good	CH204 - University of Texas at Austin	http://anderson.cm.utexas.edu/courses/ch204/ppts.html	
good	CS106A - Stanford University	https://cs.stanford.edu/people/eroberts/courses/cs106a/lectures/index.html	
good	CS2800 - Cornell University	https://www.cs.cornell.edu/courses/cs2800/2009fa/notes.htm	
good	CS3810 - University of Utah	https://users.cs.utah.edu/~rajeev/cs3810/slides/	
good	ECT250 - DePaul University	http://facweb.cs.depaul.edu/asettle/research/ect250/notes/introduction.ppt	
good	CSE342 - Lehigh University	https://www.cse.lehigh.edu/~chuah/courses/cse342/Welcome.pdf	
good	IT130 - DePaul University	http://facweb.cs.depaul.edu/mobasher/classes/it130/schedule.htm	
good	BUEC333 - Simon Fraser University	https://www.sfu.ca/~swoodcoc/teaching/sp2011/buec333/lectures.htm	but for me, its showing page not found for ppts
good	BNFO135 - New Jersey Institute of Technology	https://web.njit.edu/~usman/courses/bnfo135_fall12/bnfo135_lec1.ppt	
good	CISC1600 - Brooklyn College	http://www.sci.brooklyn.cuny.edu/~meyer/CISC1600/	
good	CSSE221 - Rose-Hulman Institute of Technology	https://www.rose-hulman.edu/class/csse/csse221/201210/Slides/01%20Introduction.pdf	
good	CSCI3411 - George Washington University	https://www2.seas.gwu.edu/~gparmer/courses/f13_3411/	
good	ECE3530 - University of Utah	https://my.ece.utah.edu/~ece3530/	
good	CS596 - San Diego State University	https://eli.sdsu.edu/courses/fall14/cs596/notes/index.html	
good	CSCI1106 - Dalhousie University	https://hallab.cs.dal.ca/CSCI1106	
good	ITI1120 - University of Ottawa	https://www.site.uottawa.ca/~diana/iti1120/	
good	CHE220 - Penn State University	https://sites.psu.edu/fcet/lecture-notes/	
good	CHE320 - Penn State University	https://sites.psu.edu/fcet/lecture-notes/	same link
good	CS111L - Wellesley College	http://cs111.wellesley.edu/archive/cs111_fall15/public_html/notes/lectures/01_course_overview_4up.pdf	multipaged ppts
good	CSI3131 - University of Ottawa	https://www.site.uottawa.ca/~nat/Courses/csi3131/	
good	ENSC251 - Simon Fraser University	http://www2.ensc.sfu.ca/~lshannon/courses/ensc251/lecture_sets.html	
good	CEM151 - Michigan State University	https://www2.chemistry.msu.edu/courses/cem151/lecturesched.htm	
good	COSC175 - Towson University	https://tigerweb.towson.edu/btaylor/cosc175/syllabus/syll_175fa16.html	
good	CS1110 - Cornell University	https://www.cs.cornell.edu/courses/cs1110/2016sp/lectures/index.php.html	
good	CSC180 - University of Toronto	http://www.cs.toronto.edu/~guerzhoy/180f16/	
good	CSE215 - Stony Brook University	https://www3.cs.stonybrook.edu/~pfodor/courses/cse215.html	
good	ICSI403 - University at Albany	http://www.cs.albany.edu/~petko/classes/FALL16-CSI403.php	2016
good	CMPT371 - Simon Fraser University	https://coursys.sfu.ca/2017sp-cmpt-371-e1/pages/_all	
good	CPTS317 - Washington State University	https://eecs.wsu.edu/~ananth/CptS317/Lectures/index.htm	
good	CSCI3022 - University of Colorado Boulder	https://home.cs.colorado.edu/~ketelsen/files/courses/csci3022/slides/	
good	ECE4960 - Cornell University	https://ocw.ece.cornell.edu/courses/ece-4960-computational-and-software-engineering/ece-4960-lectures-notes-and-handouts/	
good	COMP411 - University of North Carolina at Chapel Hill	https://www.cs.unc.edu/~porter/courses/comp411/s18/syllabus.html	
good	CS64 - University of California, Santa Barbara	https://github.com/ucsb-cs64-f18/ucsb-cs64-f18.github.io/tree/master/_lectures	
