folder,course_code,compact_key,course_title,rmp_courses,professors,total_ratings,avg_quality,avg_difficulty,confidence,profile_urls
ocw.mit.edu_8-02t-electricity-and-magnetism-spring-2005,8.02T,802,electricity and magnetism,8.02; 8.02TEAL; 802; 802T; PHY802; PHYS802,Eric Hudson; John Belcher; Max Tegmark; Peter Dourmashkin,35,4.26,3.2,high,https://www.ratemyprofessors.com/professor/186507; https://www.ratemyprofessors.com/professor/398125; https://www.ratemyprofessors.com/professor/409757; https://www.ratemyprofessors.com/professor/761785
ocw.mit.edu_8-01l-physics-i-classical-mechanics-fall-2005,8.01L,801,physics i classical mechanics,8.01; 801; 801L; 801T; 801X; HIST801; L801; MIT801; P801; PHY801; PHYS801; PHYS801L; PHYS801T; THERM801,Alan Guth; Eric Hudson; Keith Nelson; Max Tegmark; Paul Schechter; Peter Dourmashkin,27,4.0,3.26,high,https://www.ratemyprofessors.com/professor/1083753; https://www.ratemyprofessors.com/professor/1139554; https://www.ratemyprofessors.com/professor/186507; https://www.ratemyprofessors.com/professor/409757; https://www.ratemyprofessors.com/professor/565297; https://www.ratemyprofessors.com/professor/761785
ocw.mit.edu_14-03-microeconomic-theory-and-public-policy-fall-2016,14.03,1403,microeconomic theory and public policy,1403; ECON1403,David Autor,9,4.0,2.67,high,https://www.ratemyprofessors.com/professor/655707
ocw.mit.edu_5-60-thermodynamics-kinetics-spring-2008,5.60,560,thermodynamics kinetics,5.60; 560; CHE560; THERMO560,Keith Nelson; Moungi Bawendi,8,3.62,2.88,high,https://www.ratemyprofessors.com/professor/144127; https://www.ratemyprofessors.com/professor/565297
ocw.mit.edu_6-042j-mathematics-for-computer-science-fall-2005,6.042J,6042,mathematics for computer science,6042,Albert Meyer,7,3.43,1.71,high,https://www.ratemyprofessors.com/professor/95063
ocw.mit.edu_6-041-probabilistic-systems-analysis-and-applied-probability-spring-2006,6.041,6041,probabilistic systems analysis and applied probability,6041; P6041,Muriel Medard,6,2.83,3.67,high,https://www.ratemyprofessors.com/professor/95058
ocw.mit.edu_8-033-introduction-to-relativity-and-spacetime-physics-fall-2024,8.033,8033,introduction to relativity and spacetime physics,8033; PHYS8033,Max Tegmark,5,5.0,2.6,high,https://www.ratemyprofessors.com/professor/761785
ocw.mit.edu_8-033-relativity-fall-2006,8.033,8033,relativity,8033; PHYS8033,Max Tegmark,5,5.0,2.6,high,https://www.ratemyprofessors.com/professor/761785
ocw.mit.edu_6-012-microelectronic-devices-and-circuits-fall-2009,6.012,6012,microelectronic devices and circuits,6012; EE6012,Charles Sodini,4,2.0,3.75,high,https://www.ratemyprofessors.com/professor/121231
ocw.mit.edu_2-001-mechanics-materials-i-fall-2006,2.001,2001,mechanics materials i,2001,Simona Socrate,3,4.33,2.67,high,https://www.ratemyprofessors.com/professor/231197
ocw.mit.edu_2-004-systems-modeling-and-control-ii-fall-2007,2.004,2004,systems modeling and control ii,2004,Franz Hover,3,3.67,4.67,high,https://www.ratemyprofessors.com/professor/1050067
ocw.mit.edu_5-13-organic-chemistry-ii-fall-2006,5.13,513,organic chemistry ii,513,Timothy Swager,3,2.0,4.33,high,https://www.ratemyprofessors.com/professor/44544
ocw.mit.edu_1-011-project-evaluation-spring-2011,1.011,1011,project evaluation,1011,Joseph Sussman,2,3.0,2.5,high,https://www.ratemyprofessors.com/professor/813039
ocw.mit.edu_14-01-principles-of-microeconomics-fall-2023,14.01,1401,principles of microeconomics,ECON1401,David Autor,2,4.0,3.5,high,https://www.ratemyprofessors.com/professor/655707
ocw.mit.edu_14-73-the-challenge-of-world-poverty-spring-2011,14.73,1473,the challenge of world poverty,1473; ECON1473,Esther Duflo,2,5.0,2.0,high,https://www.ratemyprofessors.com/professor/791556
ocw.mit.edu_14-74-foundations-of-development-policy-spring-2009,14.74,1474,foundations of development policy,1474,Esther Duflo,2,5.0,3.0,high,https://www.ratemyprofessors.com/professor/791556
ocw.mit.edu_15-053-optimization-methods-in-management-science-spring-2013,15.053,15053,optimization methods in management science,15.053; 15053,James Orlin,2,5.0,1.5,high,https://www.ratemyprofessors.com/professor/466352
ocw.mit.edu_12-335-experimental-atmospheric-chemistry-fall-2014,12.335,12335,experimental atmospheric chemistry,12.335,Shuhei Ono,1,1.0,3.0,high,https://www.ratemyprofessors.com/professor/2739640
ocw.mit.edu_14-12-economic-applications-of-game-theory-fall-2025,14.12,1412,economic applications of game theory,ECON1412,Muhamet Yildiz,1,3.0,4.0,high,https://www.ratemyprofessors.com/professor/2158670
ocw.mit.edu_15-223-global-markets-national-politics-and-the-competitive-advantage-of-firms-fall-2011,15.223,15223,global markets national politics and the competitive advantage of firms,M15223,Simon Johnson,1,5.0,4.0,high,https://www.ratemyprofessors.com/professor/2091321
ocw.mit.edu_15-389a-global-entrepreneurship-lab-asia-pacific-fall-2010,15.389A,15389,global entrepreneurship lab asia pacific,15389B,Yasheng Huang,1,5.0,5.0,high,https://www.ratemyprofessors.com/professor/1834258
ocw.mit.edu_6-172-performance-engineering-of-software-systems-fall-2018,6.172,6172,performance engineering of software systems,CS6172,Charles Leiserson,1,5.0,4.0,high,https://www.ratemyprofessors.com/professor/1786471
ocw.mit.edu_6-263j-data-communication-networks-fall-2002,6.263J,6263,data communication networks,6263,Muriel Medard,1,4.0,4.0,high,https://www.ratemyprofessors.com/professor/95058
ocw.mit.edu_6-720j-integrated-microelectronic-devices-spring-2007,6.720J,6720,integrated microelectronic devices,ECE6720,Charles Sodini,1,3.0,4.0,high,https://www.ratemyprofessors.com/professor/121231
ocw.mit.edu_8-21-the-physics-of-energy-fall-2009,8.21,821,the physics of energy,PHYS821,Robert Jaffe,1,5.0,2.0,high,https://www.ratemyprofessors.com/professor/562629
ocw.mit.edu_8-251-string-theory-for-undergraduates-spring-2007,8.251,8251,string theory for undergraduates,8251,Barton Zwiebach,1,5.0,4.0,high,https://www.ratemyprofessors.com/professor/562630
ocw.mit.edu_hst-951j-medical-decision-support-spring-2003,HST.951J,951,medical decision support,HST951,Peter Szolovits,1,5.0,1.0,high,https://www.ratemyprofessors.com/professor/121239
ocw.mit.edu_2-008-design-and-manufacturing-ii-spring-2025,2.008,2008,design and manufacturing ii,2008,Barton Zwiebach,1,5.0,2.0,low,https://www.ratemyprofessors.com/professor/562630
