aspect,gpt_metric,r,p_raw,n,q_bh,p_holm,sig_holm,sig_bh
conceptual_clarity,visual_documentation,,0.3348,58,0.9417,1.0,False,False
conceptual_clarity,visual_appeal,,0.5244,58,0.967,1.0,False,False
conceptual_clarity,prerequisite,,0.8719,58,0.9739,1.0,False,False
conceptual_clarity,progression,,0.625,58,0.967,1.0,False,False
conceptual_clarity,long_term_recall,,0.4305,58,0.967,1.0,False,False
conceptual_clarity,U,,0.209,58,0.7233,1.0,False,False
conceptual_clarity,Total,,0.1946,58,0.7233,1.0,False,False
conceptual_clarity,violations,,0.3838,58,0.9595,1.0,False,False
conceptual_clarity,used,,0.3094,58,0.9282,1.0,False,False
organization_flow,visual_documentation,,0.6797,58,0.967,1.0,False,False
organization_flow,visual_appeal,,0.7947,58,0.9739,1.0,False,False
organization_flow,prerequisite,,0.6697,58,0.967,1.0,False,False
organization_flow,progression,,0.8029,58,0.9739,1.0,False,False
organization_flow,long_term_recall,,0.0815,58,0.6209,1.0,False,False
organization_flow,U,,0.7627,58,0.9739,1.0,False,False
organization_flow,Total,,0.7091,58,0.967,1.0,False,False
organization_flow,violations,,0.613,58,0.967,1.0,False,False
organization_flow,used,,0.6716,58,0.967,1.0,False,False
learning_materials_quality,visual_documentation,,0.8541,58,0.9739,1.0,False,False
learning_materials_quality,visual_appeal,,0.8429,58,0.9739,1.0,False,False
learning_materials_quality,prerequisite,,0.9805,58,0.9902,1.0,False,False
learning_materials_quality,progression,,0.6218,58,0.967,1.0,False,False
learning_materials_quality,long_term_recall,-0.2776,0.0349,58,0.6209,1.0,False,False
learning_materials_quality,U,,0.9902,58,0.9902,1.0,False,False
learning_materials_quality,Total,,0.6426,58,0.967,1.0,False,False
learning_materials_quality,violations,,0.6159,58,0.967,1.0,False,False
learning_materials_quality,used,,0.7054,58,0.967,1.0,False,False
cognitive_load,visual_documentation,,0.0986,58,0.6209,1.0,False,False
cognitive_load,visual_appeal,,0.7089,58,0.967,1.0,False,False
cognitive_load,prerequisite,,0.8377,58,0.9739,1.0,False,False
cognitive_load,progression,,0.8873,58,0.9739,1.0,False,False
cognitive_load,long_term_recall,,0.9846,58,0.9902,1.0,False,False
cognitive_load,U,,0.1309,58,0.6544,1.0,False,False
cognitive_load,Total,,0.0703,58,0.6209,1.0,False,False
cognitive_load,violations,,0.1522,58,0.6848,1.0,False,False
cognitive_load,used,,0.1104,58,0.6209,1.0,False,False
assessment_alignment,visual_documentation,,0.3823,58,0.9595,1.0,False,False
assessment_alignment,visual_appeal,,0.1823,58,0.7233,1.0,False,False
assessment_alignment,prerequisite,,0.6178,58,0.967,1.0,False,False
assessment_alignment,progression,,0.9654,58,0.9902,1.0,False,False
assessment_alignment,long_term_recall,,0.0982,58,0.6209,1.0,False,False
assessment_alignment,U,,0.1036,58,0.6209,1.0,False,False
assessment_alignment,Total,,0.1085,58,0.6209,1.0,False,False
assessment_alignment,violations,,0.4693,58,0.967,1.0,False,False
assessment_alignment,used,,0.2457,58,0.7899,1.0,False,False
