aspect,gpt_metric,r,p_raw,n,q_bh,p_holm,sig_holm,sig_bh
conceptual_clarity,visual_documentation,,0.2376,58,0.9898,1.0,False,False
conceptual_clarity,prerequisite,,0.9773,58,0.9898,1.0,False,False
conceptual_clarity,long_term_recall,,0.4904,58,0.9898,1.0,False,False
conceptual_clarity,violation_rate,,0.8718,58,0.9898,1.0,False,False
organization_flow,visual_documentation,,0.5031,41,0.9898,1.0,False,False
organization_flow,prerequisite,,0.7713,41,0.9898,1.0,False,False
organization_flow,long_term_recall,-0.3444,0.0275,41,0.4354,0.5493,False,False
organization_flow,violation_rate,,0.7401,41,0.9898,1.0,False,False
learning_materials_quality,visual_documentation,,0.6435,43,0.9898,1.0,False,False
learning_materials_quality,prerequisite,,0.9381,43,0.9898,1.0,False,False
learning_materials_quality,long_term_recall,-0.3093,0.0435,43,0.4354,0.8272,False,False
learning_materials_quality,violation_rate,,0.7974,43,0.9898,1.0,False,False
cognitive_load,visual_documentation,,0.3173,52,0.9898,1.0,False,False
cognitive_load,prerequisite,,0.9898,52,0.9898,1.0,False,False
cognitive_load,long_term_recall,,0.76,52,0.9898,1.0,False,False
cognitive_load,violation_rate,,0.9142,52,0.9898,1.0,False,False
assessment_alignment,visual_documentation,,0.3393,55,0.9898,1.0,False,False
assessment_alignment,prerequisite,,0.7062,55,0.9898,1.0,False,False
assessment_alignment,long_term_recall,,0.1906,55,0.9898,1.0,False,False
assessment_alignment,violation_rate,,0.9377,55,0.9898,1.0,False,False
