aspect,other,r,p_raw,q_bh,p_holm,n,sig_holm,sig_bh
Lecturer,ccr_star_rating,0.5277,0.0,0.0,0.0003,73,True,True
Lecturer,ccr_num_reviews,-0.0574,0.6295,0.7788,1.0,73,False,False
Lecturer,ccr_student_satisfaction,0.5291,0.0,0.0,0.0003,73,True,True
Lecturer,ccr_challenge_level,-0.318,0.0061,0.0244,0.9733,73,False,True
Lecturer,ccr_time_investment,-0.4057,0.0004,0.0022,0.065,73,False,True
Lecturer,ccr_attendance_importance,0.0396,0.7392,0.8437,1.0,73,False,False
Lecturer,ccr_recommendation_rate,0.3067,0.0083,0.0317,1.0,73,False,True
Lecturer,ccr_grade_accessibility,0.0766,0.5193,0.699,1.0,73,False,False
Lecturer,rmp_avg_rating,0.8303,0.0,0.0,0.0,73,True,True
Lecturer,rmp_avg_difficulty,-0.5537,0.0,0.0,0.0001,73,True,True
Lecturer,rmp_num_ratings,0.1297,0.2742,0.4569,1.0,73,False,False
Lecturer,rmp_would_take_again,0.5908,0.0,0.0,0.0001,61,True,True
Lecturer,gpt_visual_documentation,-0.1803,0.1755,0.3402,1.0,58,False,False
Lecturer,gpt_visual_appeal,-0.0588,0.6609,0.8059,1.0,58,False,False
Lecturer,gpt_prerequisite,-0.0889,0.5069,0.6868,1.0,58,False,False
Lecturer,gpt_progression,-0.0981,0.4637,0.6449,1.0,58,False,False
Lecturer,gpt_long_term_recall,-0.0912,0.496,0.6763,1.0,58,False,False
Lecturer,gpt_U,-0.2138,0.1071,0.2393,1.0,58,False,False
Lecturer,gpt_Total,-0.2378,0.0723,0.1875,1.0,58,False,False
Lecturer,gpt_violations,-0.1137,0.3955,0.5768,1.0,58,False,False
Lecturer,gpt_used,-0.1628,0.222,0.3853,1.0,58,False,False
Course,ccr_star_rating,0.4232,0.0002,0.0013,0.0345,73,True,True
Course,ccr_num_reviews,-0.1159,0.329,0.5156,1.0,73,False,False
Course,ccr_student_satisfaction,0.4231,0.0002,0.0013,0.0345,73,True,True
Course,ccr_challenge_level,-0.3407,0.0032,0.0142,0.5221,73,False,True
Course,ccr_time_investment,-0.4411,0.0001,0.0007,0.0171,73,True,True
Course,ccr_attendance_importance,0.0932,0.433,0.6186,1.0,73,False,False
Course,ccr_recommendation_rate,0.2776,0.0174,0.059,1.0,73,False,False
Course,ccr_grade_accessibility,0.2081,0.0772,0.1886,1.0,73,False,False
Course,rmp_avg_rating,0.769,0.0,0.0,0.0,73,True,True
Course,rmp_avg_difficulty,-0.5312,0.0,0.0,0.0003,73,True,True
Course,rmp_num_ratings,0.1672,0.1574,0.3148,1.0,73,False,False
Course,rmp_would_take_again,0.4716,0.0001,0.0009,0.0226,61,True,True
Course,gpt_visual_documentation,-0.2052,0.1222,0.2566,1.0,58,False,False
Course,gpt_visual_appeal,-0.0107,0.9365,0.9641,1.0,58,False,False
Course,gpt_prerequisite,-0.1369,0.3054,0.4971,1.0,58,False,False
Course,gpt_progression,0.0169,0.9,0.945,1.0,58,False,False
Course,gpt_long_term_recall,-0.0943,0.4814,0.6608,1.0,58,False,False
Course,gpt_U,-0.2343,0.0767,0.1886,1.0,58,False,False
Course,gpt_Total,-0.27,0.0404,0.1179,1.0,58,False,False
Course,gpt_violations,-0.1234,0.356,0.5457,1.0,58,False,False
Course,gpt_used,-0.2094,0.1146,0.2481,1.0,58,False,False
Materials,ccr_star_rating,0.3468,0.0026,0.0121,0.4366,73,False,True
Materials,ccr_num_reviews,-0.0414,0.7278,0.8397,1.0,73,False,False
Materials,ccr_student_satisfaction,0.3483,0.0025,0.0118,0.4205,73,False,True
Materials,ccr_challenge_level,-0.1558,0.1882,0.3561,1.0,73,False,False
Materials,ccr_time_investment,-0.2125,0.0711,0.1865,1.0,73,False,False
Materials,ccr_attendance_importance,0.0754,0.5262,0.6993,1.0,73,False,False
Materials,ccr_recommendation_rate,0.3331,0.004,0.017,0.645,73,False,True
