row,Lecturer,Course,Materials,Support,Grading,ccr_star_rating,ccr_num_reviews,ccr_student_satisfaction,ccr_challenge_level,ccr_time_investment,ccr_attendance_importance,ccr_recommendation_rate,ccr_grade_accessibility,rmp_avg_rating,rmp_avg_difficulty,rmp_num_ratings,gpt_visual_documentation,gpt_visual_appeal,gpt_prerequisite,gpt_progression,gpt_long_term_recall,asp_conceptual_clarity,asp_organization_flow,asp_learning_materials_quality,asp_cognitive_load,asp_assessment_alignment,rev_slides_sufficiency,rev_textbook_dependence,rev_external_resources,rev_prerequisite_struggle,rev_pace_pressure,rev_cumulative_review,rev_exam_lecture_alignment,rev_attendance_expectation,gpt_U,gpt_Total,gpt_violations,gpt_used,sum_conceptual_clarity,sum_visual_grounding,sum_example_support,sum_organization_flow,sum_concept_reinforcement,sum_motivation_relevance,sum_instructional_visual_richness,sum_cognitive_load_management,sum_self_containment,st3_complexity_pacing,st3_concept_progression,st3_cross_lecture_reinforcement,st3_curriculum_coherence,st3_integration_synthesis,st3_prerequisite_self_containment,st3_terminology_consistency,rmp_would_take_again
Lecturer,1.0,0.8135,0.7123,0.8186,0.6554,0.5277,,0.5291,-0.318,-0.4057,,0.3067,,0.8303,-0.5537,,,,,,,0.8575,0.6715,0.5033,0.5798,0.6233,0.4348,-0.2672,-0.4895,-0.3325,,,0.5675,,,,,,,,,,,,,,,,,,,,,,0.5908
Course,0.8135,1.0,0.6143,0.7159,0.6863,0.4232,,0.4231,-0.3407,-0.4411,,0.2776,,0.769,-0.5312,,,,,,,0.7056,0.5175,0.337,0.5978,0.6379,0.3829,,-0.4838,-0.391,,,0.6255,,,-0.27,,,,,,,-0.2743,,,,,,,,,,,,0.4716
Materials,0.7123,0.6143,1.0,0.6168,0.6325,0.3468,,0.3483,,,,0.3331,,0.679,-0.4563,,,,,,,0.7522,0.6011,0.7579,0.4215,0.5802,0.5278,-0.3103,-0.487,-0.4075,,,0.6342,,,,,,,,,,,,,,,,,,,,,,0.5601
Support,0.8186,0.7159,0.6168,1.0,0.5996,0.385,,0.3873,,-0.2806,,0.2768,,0.789,-0.4708,,,,,,,0.6724,0.4806,0.3948,0.4438,0.5558,0.2574,,-0.4954,,,,0.5402,,,,,,,,,,,,,,,,,,,,,,0.574
Grading,0.6554,0.6863,0.6325,0.5996,1.0,0.4461,,0.4416,-0.299,-0.3633,,0.4131,,0.6169,-0.4811,,,,,,,0.5832,0.4071,0.4905,0.5307,0.7612,0.3678,-0.3866,-0.3229,-0.2495,,,0.7091,,-0.266,-0.2688,,,,,,,,,,,,,,,,,,,0.5531
ccr_star_rating,0.5277,0.4232,0.3468,0.385,0.4461,1.0,,0.9995,-0.6376,-0.632,,0.535,0.2473,0.4084,-0.385,,-0.4,,-0.2986,-0.26,,0.3769,,0.2496,0.3098,0.4734,,,,,,,0.3562,,-0.2713,-0.3297,,-0.3002,-0.3846,-0.2673,-0.33,,-0.328,,,0.3096,-0.3563,,,,,,,,0.3483
ccr_num_reviews,,,,,,,1.0,,,,,,,,,,,,0.3304,-0.2661,,,,,,,,,0.2704,0.2595,0.2486,,,,,,-0.2651,,,,,,,,,,0.2831,,,,,,,,
ccr_student_satisfaction,0.5291,0.4231,0.3483,0.3873,0.4416,0.9995,,1.0,-0.6399,-0.6324,,0.5319,0.2501,0.4116,-0.3858,,-0.4004,,-0.2955,-0.2643,,0.3778,,0.2527,0.3054,0.4739,,,,,,,0.3561,,-0.2663,-0.3234,,-0.3009,-0.378,-0.2623,-0.3272,,-0.3255,,,0.313,-0.3542,,,,,,,,0.3436
ccr_challenge_level,-0.318,-0.3407,,,-0.299,-0.6376,,-0.6399,1.0,0.9053,,-0.2511,,-0.296,0.5195,0.2675,,,0.3324,0.391,0.2749,,,,-0.2478,,,,,,,,,,,0.2784,,0.2894,0.4357,0.2904,0.3332,,0.3454,,0.3026,-0.3744,,,,,,,,,
ccr_time_investment,-0.4057,-0.4411,,-0.2806,-0.3633,-0.632,,-0.6324,0.9053,1.0,,,,-0.3618,0.5286,,,,0.3625,,0.3287,-0.2623,,,-0.3306,-0.3326,,,0.249,,0.311,,-0.2914,,0.3254,0.3842,,0.3405,0.4522,0.2996,0.2943,0.2613,0.4766,,0.3428,-0.3936,,,,,,,,,
ccr_attendance_importance,,,,,,,,,,,1.0,,,,,,-0.2689,,,,,,0.2558,,0.2948,,,,,,-0.261,,,,,,,,,-0.3289,,,,,,,,,,,,,,,
ccr_recommendation_rate,0.3067,0.2776,0.3331,0.2768,0.4131,0.535,,0.5319,-0.2511,,,1.0,0.4216,0.2349,,,,,,,,0.3178,,0.2589,,0.358,,-0.2806,,-0.2374,,,0.3738,,,,,,,,,,,,,,,,,,,,,,0.5495
ccr_grade_accessibility,,,,,,0.2473,,0.2501,,,,0.4216,1.0,,,,-0.2622,,,-0.2705,,,,,,,,,,,,,,,,,,,-0.4038,-0.3405,-0.3729,-0.2619,,,,,-0.4298,,,,,,,,
rmp_avg_rating,0.8303,0.769,0.679,0.789,0.6169,0.4084,,0.4116,-0.296,-0.3618,,0.2349,,1.0,-0.6564,,,,,,,0.7389,0.5292,0.492,0.5516,0.5669,0.4042,,-0.4732,-0.3727,,,0.5329,,,,,,,,,,,,,,,,,,,,,,0.5825
rmp_avg_difficulty,-0.5537,-0.5312,-0.4563,-0.4708,-0.4811,-0.385,,-0.3858,0.5195,0.5286,,,,-0.6564,1.0,,,,,,,-0.4584,-0.3397,-0.3845,-0.6422,-0.4167,-0.241,,0.2516,,0.3072,,-0.3971,,0.2954,0.2852,,0.2743,,,,,,,,,,,,,,,,,-0.3365
rmp_num_ratings,,,,,,,,,0.2675,,,,,,,1.0,,,,,,,0.2845,,,,,-0.2346,,,0.2426,,,,,,,,0.2707,,0.3939,,,,,,0.4252,,,,,,,,
gpt_visual_documentation,,,,,,-0.4,,-0.4004,,,-0.2689,,-0.2622,,,,1.0,,0.3826,,,,,,,,,,,,,,,,,,,0.2704,0.3298,0.3726,,0.3582,0.2955,,,,0.308,,,,,,,,
gpt_visual_appeal,,,,,,,,,,,,,,,,,,1.0,,0.3905,,,,,,,,,,,,,,,,,,,,,,,,,,0.5915,,,,,,,,,
gpt_prerequisite,,,,,,-0.2986,0.3304,-0.2955,0.3324,0.3625,,,,,,,0.3826,,1.0,,0.4294,,,,,,,,,,,,,,,,,,0.3846,,,,0.3426,,,,,,,0.3435,,0.3658,0.2757,,
gpt_progression,,,,,,-0.26,-0.2661,-0.2643,0.391,,,,-0.2705,,,,,0.3905,,1.0,,,,,,,,,,,,,,,0.2798,,0.2624,0.3032,0.2591,,,,,,,,,,0.3309,,0.2829,,,,
gpt_long_term_recall,,,,,,,,,0.2749,0.3287,,,,,,,,,0.4294,,1.0,,,-0.2776,,,,,,,,,,,,,,0.2857,0.4181,,,,0.3524,,,,0.2814,,,,,,,,
asp_conceptual_clarity,0.8575,0.7056,0.7522,0.6724,0.5832,0.3769,,0.3778,,-0.2623,,0.3178,,0.7389,-0.4584,,,,,,,1.0,0.731,0.5613,0.598,0.6439,0.56,-0.3685,-0.4876,-0.4531,,,0.6238,,,,,,,,,,,,,,,,,,,,,,0.5349
asp_organization_flow,0.6715,0.5175,0.6011,0.4806,0.4071,,,,,,0.2558,,,0.5292,-0.3397,0.2845,,,,,,0.731,1.0,0.5154,0.4735,0.4931,0.5394,-0.3004,-0.529,-0.3579,,,0.5018,,,,,,,,,,,,,,,,,,,,,,0.3277
asp_learning_materials_quality,0.5033,0.337,0.7579,0.3948,0.4905,0.2496,,0.2527,,,,0.2589,,0.492,-0.3845,,,,,,-0.2776,0.5613,0.5154,1.0,0.3295,0.4607,0.6668,-0.5112,-0.3495,-0.2408,,,0.4949,,,,,,,,,,,,,0.3036,,,,,,,,,0.4044
asp_cognitive_load,0.5798,0.5978,0.4215,0.4438,0.5307,0.3098,,0.3054,-0.2478,-0.3306,0.2948,,,0.5516,-0.6422,,,,,,,0.598,0.4735,0.3295,1.0,0.409,0.3914,,-0.332,-0.4945,-0.5253,,0.3933,,,,,,,,,-0.2874,,,,,,,,,,,,,0.2903
asp_assessment_alignment,0.6233,0.6379,0.5802,0.5558,0.7612,0.4734,,0.4739,,-0.3326,,0.358,,0.5669,-0.4167,,,,,,,0.6439,0.4931,0.4607,0.409,1.0,0.3877,-0.3303,-0.3875,-0.3024,,,0.8861,,,,,,,,,,,,,,,,,,,,,,0.4062
rev_slides_sufficiency,0.4348,0.3829,0.5278,0.2574,0.3678,,,,,,,,,0.4042,-0.241,,,,,,,0.56,0.5394,0.6668,0.3914,0.3877,1.0,-0.545,-0.4675,-0.294,,,0.5065,0.341,,,,,,,,,,,,,,,,,,,,,0.2872
rev_textbook_dependence,-0.2672,,-0.3103,,-0.3866,,,,,,,-0.2806,,,,-0.2346,,,,,,-0.3685,-0.3004,-0.5112,,-0.3303,-0.545,1.0,,,,-0.2732,-0.3909,-0.2945,,,,,,,,,,,,,-0.2668,,,,,,,,-0.2777
rev_external_resources,-0.4895,-0.4838,-0.487,-0.4954,-0.3229,,0.2704,,,0.249,,,,-0.4732,0.2516,,,,,,,-0.4876,-0.529,-0.3495,-0.332,-0.3875,-0.4675,,1.0,0.392,,,-0.449,-0.2326,,,,,,,,,,,,,,,,,,,,,-0.2906
rev_prerequisite_struggle,-0.3325,-0.391,-0.4075,,-0.2495,,0.2595,,,,,-0.2374,,-0.3727,,,,,,,,-0.4531,-0.3579,-0.2408,-0.4945,-0.3024,-0.294,,0.392,1.0,0.381,,-0.3619,,,,,,,,,,,,,,,,,,,,,,
