gpt_metric,other,r,p_raw,n,p_holm,q_bh,sig_holm,sig_bh
visual_documentation,Lecturer,-0.1803,0.1755,58,1.0,0.4901,False,False
visual_documentation,Course,-0.2052,0.1222,58,1.0,0.4399,False,False
visual_documentation,Materials,-0.0552,0.6804,58,1.0,0.8945,False,False
visual_documentation,Support,-0.1185,0.3758,58,1.0,0.7237,False,False
visual_documentation,Grading,-0.1179,0.3782,58,1.0,0.7245,False,False
visual_documentation,ccr_star_rating,-0.4,0.0019,58,0.7441,0.0483,False,True
visual_documentation,ccr_num_reviews,0.2055,0.1217,58,1.0,0.4399,False,False
visual_documentation,ccr_student_satisfaction,-0.4004,0.0018,58,0.7379,0.0483,False,True
visual_documentation,ccr_challenge_level,0.2178,0.1005,58,1.0,0.404,False,False
visual_documentation,ccr_time_investment,0.2579,0.0506,58,1.0,0.2871,False,False
visual_documentation,ccr_attendance_importance,-0.2689,0.0413,58,1.0,0.2671,False,False
visual_documentation,ccr_recommendation_rate,-0.1475,0.2693,58,1.0,0.6064,False,False
visual_documentation,ccr_grade_accessibility,-0.2622,0.0467,58,1.0,0.2765,False,False
visual_documentation,rmp_avg_rating,-0.1498,0.2617,58,1.0,0.6035,False,False
visual_documentation,rmp_avg_difficulty,0.0367,0.7845,58,1.0,0.9333,False,False
visual_documentation,rmp_num_ratings,0.0046,0.9725,58,1.0,0.9949,False,False
visual_documentation,asp_conceptual_clarity,-0.1289,0.3348,58,1.0,0.7001,False,False
visual_documentation,asp_organization_flow,-0.0554,0.6797,58,1.0,0.8945,False,False
visual_documentation,asp_learning_materials_quality,0.0247,0.8541,58,1.0,0.9702,False,False
visual_documentation,asp_cognitive_load,-0.219,0.0986,58,1.0,0.4002,False,False
visual_documentation,asp_assessment_alignment,-0.1169,0.3823,58,1.0,0.7245,False,False
visual_documentation,rev_slides_sufficiency,0.1307,0.3282,58,1.0,0.6928,False,False
visual_documentation,rev_textbook_dependence,-0.122,0.3617,58,1.0,0.7199,False,False
visual_documentation,rev_external_resources,0.0884,0.5091,58,1.0,0.817,False,False
visual_documentation,rev_prerequisite_struggle,0.0308,0.8182,58,1.0,0.9542,False,False
visual_documentation,rev_pace_pressure,0.1263,0.3447,58,1.0,0.7135,False,False
visual_documentation,rev_cumulative_review,0.1753,0.1881,58,1.0,0.5025,False,False
visual_documentation,rev_exam_lecture_alignment,-0.0125,0.9259,58,1.0,0.9804,False,False
visual_documentation,rev_attendance_expectation,-0.0082,0.9511,58,1.0,0.9873,False,False
visual_documentation,sum_conceptual_clarity,0.3298,0.0115,58,1.0,0.1317,False,False
visual_documentation,sum_visual_grounding,0.3726,0.004,58,1.0,0.0784,False,False
visual_documentation,sum_example_support,0.0481,0.7199,58,1.0,0.9004,False,False
visual_documentation,sum_organization_flow,0.3582,0.0058,58,1.0,0.0955,False,False
visual_documentation,sum_concept_reinforcement,0.2955,0.0243,58,1.0,0.2058,False,False
visual_documentation,sum_motivation_relevance,0.1913,0.1502,58,1.0,0.4549,False,False
visual_documentation,sum_instructional_visual_richness,0.0742,0.5799,58,1.0,0.8743,False,False
visual_documentation,sum_cognitive_load_management,-0.1214,0.364,58,1.0,0.721,False,False
visual_documentation,sum_self_containment,0.308,0.0187,58,1.0,0.1886,False,False
visual_documentation,st3_complexity_pacing,-0.1933,0.146,58,1.0,0.4517,False,False
visual_documentation,st3_concept_progression,-0.0287,0.8308,58,1.0,0.9662,False,False
visual_documentation,st3_cross_lecture_reinforcement,0.0906,0.499,58,1.0,0.807,False,False
visual_documentation,st3_curriculum_coherence,0.0133,0.9209,58,1.0,0.9801,False,False
visual_documentation,st3_integration_synthesis,0.1051,0.4326,58,1.0,0.7525,False,False
visual_documentation,st3_prerequisite_self_containment,0.0115,0.9316,58,1.0,0.9813,False,False
visual_documentation,st3_terminology_consistency,0.0654,0.6255,58,1.0,0.8772,False,False
visual_documentation,rmp_would_take_again,-0.0544,0.7044,51,1.0,0.8949,False,False
visual_appeal,Lecturer,-0.0588,0.6609,58,1.0,0.8945,False,False
visual_appeal,Course,-0.0107,0.9365,58,1.0,0.9813,False,False
visual_appeal,Materials,-0.0578,0.6665,58,1.0,0.8945,False,False
visual_appeal,Support,-0.0146,0.9131,58,1.0,0.9784,False,False
visual_appeal,Grading,-0.1725,0.1953,58,1.0,0.5151,False,False
visual_appeal,ccr_star_rating,0.0424,0.752,58,1.0,0.9236,False,False
visual_appeal,ccr_num_reviews,-0.257,0.0515,58,1.0,0.2879,False,False
visual_appeal,ccr_student_satisfaction,0.0389,0.7716,58,1.0,0.9259,False,False
visual_appeal,ccr_challenge_level,-0.1491,0.2641,58,1.0,0.6041,False,False
visual_appeal,ccr_time_investment,-0.1788,0.1793,58,1.0,0.4901,False,False
visual_appeal,ccr_attendance_importance,-0.0653,0.6261,58,1.0,0.8772,False,False
visual_appeal,ccr_recommendation_rate,0.1441,0.2805,58,1.0,0.6244,False,False
visual_appeal,ccr_grade_accessibility,0.091,0.4967,58,1.0,0.8064,False,False
visual_appeal,rmp_avg_rating,-0.0777,0.5622,58,1.0,0.8653,False,False
visual_appeal,rmp_avg_difficulty,0.0556,0.6786,58,1.0,0.8945,False,False
visual_appeal,rmp_num_ratings,-0.1679,0.2079,58,1.0,0.5307,False,False
visual_appeal,asp_conceptual_clarity,-0.0853,0.5244,58,1.0,0.8318,False,False
visual_appeal,asp_organization_flow,-0.0349,0.7947,58,1.0,0.94,False,False
visual_appeal,asp_learning_materials_quality,0.0266,0.8429,58,1.0,0.9702,False,False
visual_appeal,asp_cognitive_load,-0.0501,0.7089,58,1.0,0.8949,False,False
