gpt_metric,other,r,p_raw,q_bh,p_holm
visual_documentation,Lecturer,,0.1755,0.4901,1.0
visual_documentation,Course,,0.1222,0.4399,1.0
visual_documentation,Materials,,0.6804,0.8945,1.0
visual_documentation,Support,,0.3758,0.7237,1.0
visual_documentation,Grading,,0.3782,0.7245,1.0
visual_documentation,ccr_star_rating,-0.4,0.0019,0.0483,0.7441
visual_documentation,ccr_num_reviews,,0.1217,0.4399,1.0
visual_documentation,ccr_student_satisfaction,-0.4004,0.0018,0.0483,0.7379
visual_documentation,ccr_challenge_level,,0.1005,0.404,1.0
visual_documentation,ccr_time_investment,,0.0506,0.2871,1.0
visual_documentation,ccr_attendance_importance,-0.2689,0.0413,0.2671,1.0
visual_documentation,ccr_recommendation_rate,,0.2693,0.6064,1.0
visual_documentation,ccr_grade_accessibility,-0.2622,0.0467,0.2765,1.0
visual_documentation,rmp_avg_rating,,0.2617,0.6035,1.0
visual_documentation,rmp_avg_difficulty,,0.7845,0.9333,1.0
visual_documentation,rmp_num_ratings,,0.9725,0.9949,1.0
visual_documentation,asp_conceptual_clarity,,0.3348,0.7001,1.0
visual_documentation,asp_organization_flow,,0.6797,0.8945,1.0
visual_documentation,asp_learning_materials_quality,,0.8541,0.9702,1.0
visual_documentation,asp_cognitive_load,,0.0986,0.4002,1.0
visual_documentation,asp_assessment_alignment,,0.3823,0.7245,1.0
visual_documentation,rev_slides_sufficiency,,0.3282,0.6928,1.0
visual_documentation,rev_textbook_dependence,,0.3617,0.7199,1.0
visual_documentation,rev_external_resources,,0.5091,0.817,1.0
visual_documentation,rev_prerequisite_struggle,,0.8182,0.9542,1.0
visual_documentation,rev_pace_pressure,,0.3447,0.7135,1.0
visual_documentation,rev_cumulative_review,,0.1881,0.5025,1.0
visual_documentation,rev_exam_lecture_alignment,,0.9259,0.9804,1.0
visual_documentation,rev_attendance_expectation,,0.9511,0.9873,1.0
visual_documentation,sum_conceptual_clarity,0.3298,0.0115,0.1317,1.0
visual_documentation,sum_visual_grounding,0.3726,0.004,0.0784,1.0
visual_documentation,sum_example_support,,0.7199,0.9004,1.0
visual_documentation,sum_organization_flow,0.3582,0.0058,0.0955,1.0
visual_documentation,sum_concept_reinforcement,0.2955,0.0243,0.2058,1.0
visual_documentation,sum_motivation_relevance,,0.1502,0.4549,1.0
visual_documentation,sum_instructional_visual_richness,,0.5799,0.8743,1.0
