gpt_metric,rev_signal,r,p_raw,q_bh,p_holm
visual_documentation,slides_sufficiency,0.1307,0.3282,0.8518,1.0
visual_documentation,textbook_dependence,-0.122,0.3617,0.8518,1.0
visual_documentation,external_resources,0.0884,0.5091,0.8518,1.0
visual_documentation,prerequisite_struggle,0.0308,0.8182,0.9759,1.0
visual_documentation,pace_pressure,0.1263,0.3447,0.8518,1.0
visual_documentation,cumulative_review,0.1753,0.1881,0.8518,1.0
visual_documentation,exam_lecture_alignment,-0.0125,0.9259,0.9759,1.0
visual_documentation,attendance_expectation,-0.0082,0.9511,0.9759,1.0
visual_appeal,slides_sufficiency,-0.0627,0.64,0.924,1.0
visual_appeal,textbook_dependence,-0.1252,0.3491,0.8518,1.0
visual_appeal,external_resources,-0.0202,0.8803,0.9759,1.0
visual_appeal,prerequisite_struggle,0.0566,0.673,0.924,1.0
visual_appeal,pace_pressure,0.0923,0.4909,0.8518,1.0
visual_appeal,cumulative_review,-0.0021,0.9874,0.9874,1.0
visual_appeal,exam_lecture_alignment,-0.0837,0.5324,0.8518,1.0
visual_appeal,attendance_expectation,-0.112,0.4026,0.8518,1.0
prerequisite,slides_sufficiency,0.1038,0.4382,0.8518,1.0
prerequisite,textbook_dependence,0.0395,0.7687,0.9613,1.0
prerequisite,external_resources,0.1088,0.4162,0.8518,1.0
prerequisite,prerequisite_struggle,0.1044,0.4354,0.8518,1.0
prerequisite,pace_pressure,-0.098,0.4642,0.8518,1.0
prerequisite,cumulative_review,0.053,0.693,0.924,1.0
prerequisite,exam_lecture_alignment,-0.0608,0.6501,0.924,1.0
prerequisite,attendance_expectation,-0.0643,0.6314,0.924,1.0
progression,slides_sufficiency,0.1956,0.1412,0.8518,1.0
progression,textbook_dependence,-0.1093,0.4142,0.8518,1.0
progression,external_resources,-0.1844,0.1659,0.8518,1.0
progression,prerequisite_struggle,-0.0171,0.8988,0.9759,1.0
progression,pace_pressure,0.1136,0.3957,0.8518,1.0
progression,cumulative_review,0.1166,0.3835,0.8518,1.0
progression,exam_lecture_alignment,0.0858,0.5218,0.8518,1.0
progression,attendance_expectation,-0.16,0.2303,0.8518,1.0
long_term_recall,slides_sufficiency,-0.1199,0.3701,0.8518,1.0
long_term_recall,textbook_dependence,-0.0082,0.9515,0.9759,1.0
long_term_recall,external_resources,0.1847,0.1651,0.8518,1.0
long_term_recall,prerequisite_struggle,0.1236,0.3553,0.8518,1.0
long_term_recall,pace_pressure,0.0259,0.8471,0.9759,1.0
long_term_recall,cumulative_review,0.1842,0.1663,0.8518,1.0
long_term_recall,exam_lecture_alignment,-0.1993,0.1336,0.8518,1.0
long_term_recall,attendance_expectation,-0.0394,0.7691,0.9613,1.0
