folder,course_college,course_date,within3,slide_link
01,AY101 - University of Alabama,2026,5,https://pages.astronomy.ua.edu/jairwin/AY101/AY101.html
02,CS15122 - Carnegie Mellon University,2026,68,https://www.cs.cmu.edu/~15122/handouts.shtml
03,CS2110 - Cornell University,2026,16,https://www.cs.cornell.edu/courses/cs2110/2026sp/
04,CS5800 - Northeastern University,2026,8,https://www.khoury.northeastern.edu/home/vip/teach/Algorithms/html/aboutcs5800_mod.html
05,CSE114 - Stony Brook University,2026,9,https://www3.cs.stonybrook.edu/~pfodor/courses/cse114.html
06,CS122 - Carnegie Mellon University,2026,15,https://www.cs.cmu.edu/~15122/handouts.shtml
07,CS201 - Duke University,2026,23,https://courses.cs.duke.edu/spring26/compsci201/sec02
08,CS4476 - Georgia Institute of Technology,2026,9,https://faculty.cc.gatech.edu/~hays/compvision
09,CAP5510 - University of Florida,2025,5,https://www.cise.ufl.edu/~tamer/teaching/fall2025/lectures/
10,CIS2166 - Temple University,2025,13,https://cis-linux1.temple.edu/~latecki/Courses/CIS2166-Spring25/
11,COMP3500 - Auburn University,2025,7,https://github.com/kmoreland126/COMP-3500
12,CS449 - University of Pittsburgh,2025,59,https://cs0449.gitlab.io/fa2025/schedule
13,CSC4480 - Villanova University,2025,6,http://www.csc.villanova.edu/~enwafor/database/
14,"CSE11 - University of California, San Diego",2025,66,https://cseweb.ucsd.edu/classes/sp25/cse11-a/
15,CSE150 - Stony Brook University,2025,8,https://www.seclab.cs.sunysb.edu/sekar/cse150/
16,"CSE252A - University of California, San Diego",2025,13,https://cseweb.ucsd.edu/classes/fa25/cse252A-a/
17,EC365 - Boston University,2025,12,https://jamesfeigenbaum.github.io/lectures/
18,INFO4940 - Cornell University,2025,4,https://info4940.infosci.cornell.edu/
19,CS7643 - Georgia Institute of Technology,2025,10,https://faculty.cc.gatech.edu/~zk15/teaching/AY2025_cs7643_spring/index.html
20,CS3853 - University of Texas at San Antonio,2024,8,https://wwang.github.io/teaching/slides/Comp_Arch/Midterm1_PreparationU.pdf
21,CS537 - University of Wisconsin-Madison,2024,22,https://pages.cs.wisc.edu/~oliphant/cs537-sp24/
22,CSCI4430 - Rensselaer Polytechnic Institute,2024,12,https://www.cs.rpi.edu/academics/courses/fall24/csci4430/
23,CSCI567 - University of Southern California,2024,17,https://usc-tamagotchi.github.io/csci-567/24f/
24,DSCI553 - University of Southern California,2024,50,https://github.com/HaoyueXU99/USC-DSCI-553-Fall23/tree/main/Slides
25,3DB3 - McMaster University,2024,6,https://notes.aarnphm.xyz/thoughts/university/twenty-four-twenty-five/sfwr-3db3/
26,CS442 - Penn State University,2024,6,https://ryanzhumich.github.io/442.html
27,ECE560 - Duke University,2024,4,https://people.duke.edu/~tkb13/courses/ece560-2024fa/slides/
28,CISC3171 - Brooklyn College,2023,6,https://huichen-cs.github.io/course/CISC3171/23SP/syllabus/
29,COSC1306 - University of Houston,2023,10,https://www2.cs.uh.edu/~acl/cs1336/Resource/index.html
30,CS15112 - Carnegie Mellon University,2023,18,https://www.cs.cmu.edu/~112-f23/
31,CX4220 - Georgia Institute of Technology,2023,4,https://sites.gatech.edu/cse6220fall24/
32,CS104 - University of Southern California,2022,72,https://ee.usc.edu/~redekopp/cs104/slides/L01_Overview.pdf
33,CS4450 - Cornell University,2022,16,https://www.cs.cornell.edu/courses/cs4450/2022fa/schedule.html
34,CSC241 - DePaul University,2022,4,https://reed.cs.depaul.edu/lperkovic/csc241/
35,COMP251 - McGill University,2022,9,https://www.cs.mcgill.ca/~jeromew/comp251.html
36,CS6375 - University of Texas at Dallas,2022,12,https://personal.utdallas.edu/~nrr150130/cs6375/2022sp/
37,CSCIE109B - Harvard University,2022,17,https://harvard-iacs.github.io/2022-CS109B/pages/syllabus.html
38,CALC2202 - Kennesaw State University,2021,5,https://facultyweb.kennesaw.edu/ykang4/math2202.php
39,"CMPSC16 - University of California, Santa Barbara",2021,12,https://ucsb-cs16.github.io/w20/info/syllabus/
40,CS4320 - Cornell University,2021,14,http://www.databaselecture.com/
41,"CSC134 - California State University, Sacramento",2021,32,https://zedchance.github.io/notes/134-6.pdf
42,CSI1430 - Baylor University,2021,4,https://github.com/xiangmind/csi_1430
43,MIS3690 - Babson College,2021,6,https://github.com/gscholer/OIM3690-resources/blob/main/slides
44,CMPSC311 - Penn State University,2021,39,https://github.com/PSUCMPSC311/psucmpsc311.github.io
45,CAP4053 - University of Florida,2020,8,https://github.com/maxkrieger2000/cap4053-student-materials/tree/main/Lecture%20Slides
46,CH1020 - Worcester Polytechnic Institute,2020,55,https://github.com/Mcdonoughd/CH1020/tree/master/Class%20Slides/Lecture%20Slides
47,CIS3550 - Baruch College,2020,5,https://academicworks.cuny.edu/bb_oers/5/
48,CISC3130 - Brooklyn College,2020,11,https://libguides.brooklyn.cuny.edu/cisc3130/schedule
49,EK307 - Boston University,2020,4,https://sites.bu.edu/engcourses/ek307/
50,CS1331 - Georgia Institute of Technology,2019,40,https://cs1331.gitlab.io/slides/introduction.pdf
51,CS200 - University of Wisconsin-Madison,2019,6,https://pages.cs.wisc.edu/~vinitskys/cs200_files/lectures/1_Welcome_to_CS200.pdf
52,CSE307 - Stony Brook University,2019,44,https://www3.cs.stonybrook.edu/~pfodor/courses/cse307.html
53,COMP411 - University of North Carolina at Chapel Hill,2018,8,https://www.cs.unc.edu/~porter/courses/comp411/s18/syllabus.html
54,"CS64 - University of California, Santa Barbara",2018,14,https://github.com/ucsb-cs64-f18/ucsb-cs64-f18.github.io/tree/master/_lectures
55,COSC175 - Towson University,2016,26,https://tigerweb.towson.edu/btaylor/cosc175/syllabus/syll_175fa16.html
56,CSC180 - University of Toronto,2016,9,http://www.cs.toronto.edu/~guerzhoy/180f16/
57,CSE215 - Stony Brook University,2016,33,https://www3.cs.stonybrook.edu/~pfodor/courses/cse215.html
58,CHE220 - Penn State University,2015,10,https://sites.psu.edu/fcet/lecture-notes/
59,ENSC251 - Simon Fraser University,2015,11,http://www2.ensc.sfu.ca/~lshannon/courses/ensc251/lecture_sets.html
60,COMP557 - McGill University,2015,4,https://cim.mcgill.ca/~langer/557.html
61,ITI1120 - University of Ottawa,2014,9,https://www.site.uottawa.ca/~diana/iti1120/
62,BNFO135 - New Jersey Institute of Technology,2012,4,https://web.njit.edu/~usman/courses/bnfo135_fall12/bnfo135_lec1.ppt
63,CISC1600 - Brooklyn College,2012,7,http://www.sci.brooklyn.cuny.edu/~meyer/CISC1600/
64,BUEC333 - Simon Fraser University,2011,4,https://www.sfu.ca/~swoodcoc/teaching/sp2011/buec333/lectures.htm
65,ECON2030 - Auburn University,2011,12,https://webhome.auburn.edu/~garriro/2syl11spring.htm
66,CSE342 - Lehigh University,2010,4,https://www.cse.lehigh.edu/~chuah/courses/cse342/Welcome.pdf
67,EE230 - Iowa State University,2010,4,http://class.ece.iastate.edu/ee230
68,CEG402 - Wright State University,2006,4,https://cecs.wright.edu/~bwang/course/ceg402/Lecture1.ppt
69,COMS207 - Iowa State University,2006,5,https://home.engineering.iastate.edu/alexs/classes/2006_Spring_207/slides/01_Intro.ppt
70,CS1502 - University of Pittsburgh,2006,4,https://people.cs.pitt.edu/~wiebe/courses/CS1502/lectures/
71,CSCI3022 - University of Colorado Boulder,2021,4,https://home.cs.colorado.edu/~ketelsen/files/courses/csci3022/slides/
72,MACM101 - Simon Fraser University,2016,7,https://www2.cs.sfu.ca/CourseCentral/101.MACM/ramesh/lectureslides.html
73,CS6360 - University of Texas at Dallas,2019,20,https://utdallas.edu/~muratk/courses/db08.htm
