memory_feature,target,r,p_raw,n,q_bh,sig_bh
pmsum_cognitive_load_management,ccr_star_rating,0.2294,0.0833,58,0.2583,False
pmsum_cognitive_load_management,ccr_student_satisfaction,0.2389,0.0709,58,0.2544,False
pmsum_cognitive_load_management,ccr_challenge_level,-0.2532,0.0552,58,0.2476,False
pmsum_cognitive_load_management,ccr_time_investment,-0.2284,0.0846,58,0.2583,False
pmsum_cognitive_load_management,ccr_recommendation_rate,0.1969,0.1384,58,0.2951,False
pmsum_cognitive_load_management,ccr_grade_accessibility,0.0472,0.725,58,0.8765,False
pmsum_cognitive_load_management,rmp_avg_rating,0.0209,0.8763,58,0.9646,False
pmsum_cognitive_load_management,rmp_avg_difficulty,-0.0158,0.9063,58,0.9646,False
pmsum_cognitive_load_management,rmp_would_take_again,-0.1166,0.4151,51,0.6227,False
pmsum_concept_reinforcement,ccr_star_rating,-0.366,0.0047,58,0.0653,False
pmsum_concept_reinforcement,ccr_student_satisfaction,-0.3618,0.0053,58,0.0653,False
pmsum_concept_reinforcement,ccr_challenge_level,0.2886,0.028,58,0.1892,False
pmsum_concept_reinforcement,ccr_time_investment,0.4374,0.0006,58,0.0483,True
pmsum_concept_reinforcement,ccr_recommendation_rate,-0.1247,0.3511,58,0.5576,False
pmsum_concept_reinforcement,ccr_grade_accessibility,-0.2655,0.044,58,0.2375,False
pmsum_concept_reinforcement,rmp_avg_rating,-0.2038,0.125,58,0.2943,False
pmsum_concept_reinforcement,rmp_avg_difficulty,0.2815,0.0323,58,0.1934,False
pmsum_concept_reinforcement,rmp_would_take_again,-0.0076,0.9579,51,0.9646,False
pmsum_conceptual_clarity,ccr_star_rating,-0.2225,0.0932,58,0.2697,False
pmsum_conceptual_clarity,ccr_student_satisfaction,-0.2155,0.1042,58,0.2892,False
pmsum_conceptual_clarity,ccr_challenge_level,0.1596,0.2314,58,0.4359,False
pmsum_conceptual_clarity,ccr_time_investment,0.2049,0.1229,58,0.2943,False
pmsum_conceptual_clarity,ccr_recommendation_rate,-0.1015,0.4483,58,0.637,False
pmsum_conceptual_clarity,ccr_grade_accessibility,-0.2395,0.0702,58,0.2544,False
pmsum_conceptual_clarity,rmp_avg_rating,-0.0324,0.8095,58,0.9367,False
pmsum_conceptual_clarity,rmp_avg_difficulty,0.0476,0.7226,58,0.8765,False
pmsum_conceptual_clarity,rmp_would_take_again,-0.0608,0.6719,51,0.8504,False
pmsum_example_support,ccr_star_rating,-0.3426,0.0085,58,0.0684,False
pmsum_example_support,ccr_student_satisfaction,-0.3388,0.0093,58,0.0684,False
pmsum_example_support,ccr_challenge_level,0.2613,0.0476,58,0.2409,False
pmsum_example_support,ccr_time_investment,0.2522,0.0561,58,0.2476,False
pmsum_example_support,ccr_recommendation_rate,-0.0606,0.6514,58,0.8375,False
pmsum_example_support,ccr_grade_accessibility,-0.3887,0.0026,58,0.0653,False
pmsum_example_support,rmp_avg_rating,0.1036,0.4391,58,0.6363,False
pmsum_example_support,rmp_avg_difficulty,-0.0606,0.6514,58,0.8375,False
pmsum_example_support,rmp_would_take_again,0.1657,0.2452,51,0.4414,False
pmsum_instructional_visual_richness,ccr_star_rating,-0.1989,0.1344,58,0.2943,False
pmsum_instructional_visual_richness,ccr_student_satisfaction,-0.2024,0.1275,58,0.2943,False
pmsum_instructional_visual_richness,ccr_challenge_level,0.1998,0.1327,58,0.2943,False
pmsum_instructional_visual_richness,ccr_time_investment,0.2478,0.0608,58,0.2476,False
pmsum_instructional_visual_richness,ccr_recommendation_rate,-0.1665,0.2116,58,0.408,False
pmsum_instructional_visual_richness,ccr_grade_accessibility,-0.1101,0.4107,58,0.6227,False
pmsum_instructional_visual_richness,rmp_avg_rating,-0.0393,0.7694,58,0.9165,False
pmsum_instructional_visual_richness,rmp_avg_difficulty,0.1703,0.2013,58,0.4028,False
pmsum_instructional_visual_richness,rmp_would_take_again,0.0235,0.8699,51,0.9646,False
pmsum_motivation_relevance,ccr_star_rating,0.1034,0.4399,58,0.6363,False
pmsum_motivation_relevance,ccr_student_satisfaction,0.0965,0.4711,58,0.6579,False
pmsum_motivation_relevance,ccr_challenge_level,0.0805,0.5481,58,0.7477,False
