course_college,persona_id,n_lectures,mastery_first,mastery_final,learning_gain,mastery_slope,confusion_slope,clarity_slope,cogload_slope
AY101 - University of Alabama,above_average,26,0.86,0.93,0.07,0.0024,0.0879,-0.0,0.001
AY101 - University of Alabama,average,26,0.73,0.87,0.14,0.0056,0.1962,0.0031,0.0099
AY101 - University of Alabama,below_average,26,0.64,0.74,0.1,0.0069,-0.0253,0.0075,0.0256
AY101 - University of Alabama,high_achiever,26,0.94,0.96,0.02,0.0011,0.0773,0.0085,-0.0082
AY101 - University of Alabama,low_performer,26,0.33,0.62,0.29,0.01,0.1043,-0.0,0.0386
CAP4053 - University of Florida,above_average,17,0.74,0.9,0.16,0.0046,0.1348,-0.0074,-0.0025
CAP4053 - University of Florida,average,17,0.69,0.82,0.13,0.0082,-0.0711,-0.0196,0.0196
CAP4053 - University of Florida,below_average,17,0.42,0.7,0.28,0.0166,-0.2549,0.0098,0.0196
CAP4053 - University of Florida,high_achiever,17,0.8,0.94,0.14,0.0049,0.0588,0.0172,0.0221
CAP4053 - University of Florida,low_performer,17,0.33,0.58,0.25,0.0159,-0.2181,0.0147,0.0245
CAP5510 - University of Florida,above_average,8,0.78,0.84,0.06,0.0079,0.0833,-0.131,0.0357
CAP5510 - University of Florida,average,8,0.56,0.79,0.23,0.0268,0.369,-0.0476,0.0714
CAP5510 - University of Florida,below_average,8,0.34,0.49,0.15,0.0262,0.381,0.0238,0.0833
CAP5510 - University of Florida,high_achiever,8,0.76,0.89,0.13,0.0129,0.5714,-0.0119,0.0238
CAP5510 - University of Florida,low_performer,8,0.23,0.42,0.19,0.0269,0.3929,-0.0714,0.0833
CEG402 - Wright State University,above_average,5,0.84,0.92,0.08,0.019,0.8,-0.0,0.3
CEG402 - Wright State University,average,5,0.56,0.89,0.33,0.078,0.0,0.2,0.4
CEG402 - Wright State University,below_average,5,0.42,0.63,0.21,0.053,-1.3,-0.0,-0.0
CEG402 - Wright State University,high_achiever,5,0.85,0.93,0.08,0.018,-2.2,-0.0,-0.0
CEG402 - Wright State University,low_performer,5,0.32,0.53,0.21,0.049,-0.3,0.2,0.2
CH1020 - Worcester Polytechnic Institute,above_average,5,0.83,0.94,0.11,0.027,-0.4,-0.0,0.3
CH1020 - Worcester Polytechnic Institute,average,5,0.58,0.81,0.23,0.06,0.8,0.2,0.2
CH1020 - Worcester Polytechnic Institute,below_average,5,0.38,0.65,0.27,0.077,0.3,0.1,0.3
CH1020 - Worcester Polytechnic Institute,high_achiever,5,0.87,0.96,0.09,0.026,1.0,-0.0,0.3
CH1020 - Worcester Polytechnic Institute,low_performer,5,0.28,0.55,0.27,0.063,-0.3,0.2,0.3
CHE220 - Penn State University,above_average,23,0.77,0.95,0.18,0.0052,-0.0208,0.0079,-0.002
CHE220 - Penn State University,average,23,0.36,0.84,0.48,0.0114,0.1334,0.0138,-0.0188
CHE220 - Penn State University,below_average,23,0.28,0.68,0.4,0.0159,-0.1877,0.0099,-0.003
CHE220 - Penn State University,high_achiever,23,0.79,0.96,0.17,0.0048,-0.2006,0.0079,-0.0099
CHE220 - Penn State University,low_performer,23,0.21,0.5,0.29,0.0122,-0.0543,0.0128,-0.0188
CIS2166 - Temple University,above_average,9,0.73,0.91,0.18,0.017,-0.0167,-0.0,0.0667
CIS2166 - Temple University,average,9,0.5,0.84,0.34,0.0325,0.5667,0.0667,0.0833
CIS2166 - Temple University,below_average,9,0.38,0.62,0.24,0.028,0.1833,-0.0,-0.05
CIS2166 - Temple University,high_achiever,9,0.78,0.95,0.17,0.012,0.9667,0.0667,0.0667
CIS2166 - Temple University,low_performer,9,0.24,0.52,0.28,0.0393,-0.35,0.1,0.0667
CISC3130 - Brooklyn College,above_average,29,0.78,0.95,0.17,0.0041,0.0227,-0.0241,0.0059
CISC3130 - Brooklyn College,average,29,0.58,0.77,0.19,0.0046,-0.17,-0.0148,0.0099
CISC3130 - Brooklyn College,below_average,29,0.31,0.61,0.3,0.0098,-0.1532,-0.0054,0.0089
CISC3130 - Brooklyn College,high_achiever,29,0.9,0.95,0.05,0.0016,-0.1084,-0.0128,-0.0054
CISC3130 - Brooklyn College,low_performer,29,0.22,0.45,0.23,0.0078,-0.0163,-0.0222,-0.0138
CISC3171 - Brooklyn College,above_average,25,0.74,0.92,0.18,0.0065,0.2177,0.0308,-0.0323
CISC3171 - Brooklyn College,average,25,0.38,0.84,0.46,0.0149,-0.0269,0.0315,-0.0115
CISC3171 - Brooklyn College,below_average,25,0.24,0.68,0.44,0.0142,0.0315,0.0292,-0.0285
CISC3171 - Brooklyn College,high_achiever,25,0.82,0.94,0.12,0.0033,0.0285,0.02,-0.0254
CISC3171 - Brooklyn College,low_performer,25,0.29,0.63,0.34,0.0127,-0.1046,0.0254,-0.0108
"CMPSC16 - University of California, Santa Barbara",above_average,16,0.75,0.92,0.17,0.0077,-0.2691,-0.0088,-0.0
"CMPSC16 - University of California, Santa Barbara",average,16,0.42,0.78,0.36,0.0142,0.1088,-0.0015,-0.0118
"CMPSC16 - University of California, Santa Barbara",below_average,16,0.28,0.68,0.4,0.0242,0.1956,0.0191,0.0162
"CMPSC16 - University of California, Santa Barbara",high_achiever,16,0.84,0.94,0.1,0.0047,0.1544,-0.0162,-0.0382
"CMPSC16 - University of California, Santa Barbara",low_performer,16,0.24,0.63,0.39,0.0252,0.1588,0.0353,0.0471
CMPSC311 - Penn State University,above_average,5,0.71,0.88,0.17,0.043,-0.2,-0.0,-0.0
CMPSC311 - Penn State University,average,5,0.45,0.8,0.35,0.082,0.2,-0.0,0.2
CMPSC311 - Penn State University,below_average,5,0.32,0.74,0.42,0.111,-1.0,0.1,0.3
CMPSC311 - Penn State University,high_achiever,5,0.83,0.92,0.09,0.022,-0.9,0.2,0.1
CMPSC311 - Penn State University,low_performer,5,0.21,0.46,0.25,0.066,0.5,0.1,0.1
COMP251 - McGill University,above_average,25,0.78,0.95,0.17,0.0062,-0.19,0.0092,0.0062
COMP251 - McGill University,average,25,0.38,0.86,0.48,0.0117,-0.1977,0.0192,0.0277
COMP251 - McGill University,below_average,25,0.26,0.67,0.41,0.0143,-0.1254,-0.0,-0.0
COMP251 - McGill University,high_achiever,25,0.9,0.95,0.05,0.0024,-0.0815,0.0092,-0.0
COMP251 - McGill University,low_performer,25,0.2,0.56,0.36,0.0114,-0.0069,-0.02,-0.0054
COMP3500 - Auburn University,above_average,7,0.76,0.89,0.13,0.0211,0.7143,0.1071,-0.0
COMP3500 - Auburn University,average,7,0.67,0.86,0.19,0.0271,-0.7143,-0.0,-0.0
COMP3500 - Auburn University,below_average,7,0.39,0.58,0.19,0.0343,0.4286,-0.0357,0.0
COMP3500 - Auburn University,high_achiever,7,0.84,0.93,0.09,0.0157,0.4286,0.1786,-0.0
COMP3500 - Auburn University,low_performer,7,0.27,0.5,0.23,0.0311,-0.0357,0.0714,-0.0357
