metric,family,n_sig_targets,max_abs_r,best_target
conceptual_clarity,pmsum,0,0.2395,
conceptual_clarity,pasum,5,0.3617,ccr_time_investment
conceptual_clarity,sum,5,0.4021,ccr_challenge_level
visual_grounding,pmsum,5,0.3631,ccr_time_investment
visual_grounding,pasum,5,0.3868,ccr_time_investment
visual_grounding,sum,5,0.3369,ccr_grade_accessibility
example_support,pmsum,4,0.3887,ccr_grade_accessibility
example_support,pasum,5,0.4204,ccr_grade_accessibility
example_support,sum,4,0.405,ccr_grade_accessibility
organization_flow,pmsum,0,0.2128,
organization_flow,pasum,0,0.2575,
organization_flow,sum,2,0.2781,ccr_challenge_level
concept_reinforcement,pmsum,6,0.4374,ccr_time_investment
concept_reinforcement,pasum,5,0.4325,ccr_time_investment
concept_reinforcement,sum,5,0.4448,ccr_time_investment
motivation_relevance,pmsum,0,0.2641,
motivation_relevance,pasum,1,0.276,ccr_grade_accessibility
motivation_relevance,sum,0,0.2478,
instructional_visual_richness,pmsum,0,0.2478,
instructional_visual_richness,pasum,0,0.2454,
instructional_visual_richness,sum,1,0.2918,ccr_time_investment
cognitive_load_management,pmsum,0,0.2532,
cognitive_load_management,pasum,4,0.4189,ccr_time_investment
cognitive_load_management,sum,4,0.4361,ccr_time_investment
self_containment,pmsum,1,0.2798,ccr_grade_accessibility
self_containment,pasum,3,0.359,ccr_grade_accessibility
self_containment,sum,3,0.4524,ccr_grade_accessibility
