query_name,present,verdict,match_quality,matched_name,school,school_expected,school_match,department,avg_rating,num_ratings,would_take_again,avg_difficulty,legacy_id,profile_url,source_courses
John DeNero,1,on_rmp,strong,John DeNero,University of California Berkeley,University of California Berkeley,1,Computer Science,4.3,280,84.0183,3.6,1621181,https://www.ratemyprofessors.com/professor/1621181,cs61a.org
Mehran Sahami,1,on_rmp,strong,Mehran Sahami,Stanford University,Stanford University,1,Computer Science,4.9,94,94.4444,2.1,203927,https://www.ratemyprofessors.com/professor/203927,new/web.stanford.edu_cs182
Ritwik Banerjee,1,on_rmp,strong,Ritwik Banerjee,Stony Brook University (SUNY),Stony Brook University,1,Computer Science,3.0,75,43.8596,4.1,2069373,https://www.ratemyprofessors.com/professor/2069373,new/www3.cs.stonybrook.edu_CSE354
Jerry Cain,1,on_rmp,strong,Jerry Cain,Stanford University,Stanford University,1,Computer Science,4.6,55,90.0,3.8,13890,https://www.ratemyprofessors.com/professor/13890,web.stanford.edu_cs110
Curran Muhlberger,1,on_rmp,strong,Curran Muhlberger,Cornell University,Cornell University,1,Computer Science,2.8,53,47.1698,3.6,2756306,https://www.ratemyprofessors.com/professor/2756306,cs.cornell.edu_cs2110_2026sp
Kilian Q. Weinberger,1,on_rmp,strong,Kilian Weinberger,Cornell University,Cornell University,1,Computer Science,3.7,53,67.9245,2.9,2254913,https://www.ratemyprofessors.com/professor/2254913,cs.cornell.edu_cs4782_2025sp
Graham C. Evans,1,on_rmp,strong,Graham Evans,University Of Illinois at Urbana - Champaign,University of Illinois,1,Computer Science,2.5,52,34.6154,3.3,2254924,https://www.ratemyprofessors.com/professor/2254924,courses.grainger.illinois.edu_cs225_sp2024
Tom Murphy,1,on_rmp,strong,Tom Murphy,Western University,,,Social Science,3.1,48,-1.0,2.8,42576,https://www.ratemyprofessors.com/professor/42576,new/tmurphy.physics.ucsd.edu_phys8
Diana Diaz,1,on_rmp,strong,Diana Diaz,University of Illinois Chicago,,,Computer Science,2.5,46,34.7826,3.7,2580783,https://www.ratemyprofessors.com/professor/2580783,profdiazh.github.io_cs101
Donald Sadoway,1,on_rmp,strong,Donald Sadoway,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1,Engineering,4.0,43,50.0,2.5,81483,https://www.ratemyprofessors.com/professor/81483,new/ocw.mit.edu_3-091sc-introduction-to-solid-state-chemistry-fall-2010
