Professors to fetch: 245 (already done: 189)
  [1/245] Abbas Milani (id=661391) ... ok (12 ratings)
  [2/245] Laura Wittman (id=815142) ... ok (2 ratings)
  [3/245] Liran Einav (id=419852) ... ok (7 ratings)
  [4/245] Chaitan Khosla (id=132638) ... ok (6 ratings)
  [5/245] Jennifer Schwartz (id=1699270) ... ok (2 ratings)
  [6/245] Melanie Morten (id=2235583) ... ok (2 ratings)
  [7/245] James Ferguson (id=1215626) ... ok (2 ratings)
  [8/245] Robert Proctor (id=1267046) ... ok (3 ratings)
  [9/245] Dafna Elrad (id=825715) ... ok (6 ratings)
  [10/245] Dustin Schroeder (id=2318229) ... ok (3 ratings)
  [11/245] Bruce Macintosh (id=2216638) ... ok (2 ratings)
  [12/245] Roland Greene (id=1143194) ... ok (2 ratings)
  [13/245] Henry Lowood (id=1452751) ... ok (5 ratings)
  [14/245] Martin Lewis (id=1146906) ... ok (2 ratings)
  [15/245] Brad Osgood (id=1038150) ... ok (9 ratings)
  [16/245] Jonathan Fan (id=2322523) ... ok (1 ratings)
  [17/245] Denise Gigante (id=1025270) ... ok (3 ratings)
  [18/245] Itai Ashlagi (id=2297341) ... ok (1 ratings)
  [19/245] Giancarlo Aquilanti (id=931515) ... ok (7 ratings)
  [20/245] Heather Hadlock (id=795607) ... ok (6 ratings)
  [21/245] Robert Harrison (id=821181) ... ok (3 ratings)
  [22/245] Ian Morris (id=67584) ... ok (9 ratings)
  [23/245] Maryam Mirzakhani (id=1777284) ... ok (3 ratings)
  [24/245] Charlie Cox (id=1786999) ... ok (7 ratings)
  [25/245] Raul Garcia (id=2276788) ... ok (1 ratings)
  [26/245] John Bender (id=605397) ... ok (8 ratings)
  [27/245] James Fox (id=1733229) ... ok (3 ratings)
  [28/245] Will Monroe (id=2271082) ... ok (1 ratings)
  [29/245] Tom Kosnik (id=1094185) ... ok (6 ratings)
  [30/245] Wei Kai (id=2264399) ... ok (1 ratings)
  [31/245] Scott Sagan (id=264149) ... ok (6 ratings)
  [32/245] Mendel Rosenblum (id=583269) ... ok (6 ratings)
  [33/245] John Pauly (id=236143) ... ok (4 ratings)
  [34/245] Brajesh Samarth (id=1789039) ... ok (8 ratings)
  [35/245] William Leben (id=262517) ... ok (5 ratings)
  [36/245] Gregory Valiant (id=2230724) ... ok (1 ratings)
  [37/245] Oberle Eric (id=934005) ... ok (1 ratings)
  [38/245] Herb Lin (id=2022097) ... ok (1 ratings)
  [39/245] Blakey Vermeule (id=1905069) ... ok (3 ratings)
  [40/245] Marci Kwon (id=2202672) ... ok (1 ratings)
  [41/245] Jessica Riskin (id=1146669) ... ok (3 ratings)
  [42/245] Ewart Thomas (id=242820) ... ok (13 ratings)
  [43/245] Hong Zeng (id=227578) ... ok (15 ratings)
  [44/245] David Brady (id=299730) ... ok (4 ratings)
  [45/245] Lawrence Friedman (id=2170193) ... ok (1 ratings)
  [46/245] Keith Devlin (id=2168574) ... ok (1 ratings)
  [47/245] Sanjay Lall (id=424827) ... ok (12 ratings)
  [48/245] Christopher Edwards (id=1326846) ... ok (4 ratings)
  [49/245] Nate Cardin (id=2154596) ... ok (1 ratings)
  [50/245] Rizlan Bencheikh-Latmani (id=1706650) ... ok (1 ratings)
  [51/245] Dominik Michels (id=2103274) ... ok (7 ratings)
  [52/245] Nadeem Hussain (id=1427523) ... ok (2 ratings)
  [53/245] Mark Tendall (id=216856) ... ok (29 ratings)
  [54/245] Carolyn Ross (id=105542) ... ok (9 ratings)
  [55/245] Priya Satia (id=291530) ... ok (5 ratings)
  [56/245] Steve Block (id=468770) ... ok (6 ratings)
  [57/245] Osei Boakye (id=2122058) ... ok (1 ratings)
  [58/245] Tadashi Fukami (id=1182695) ... ok (2 ratings)
  [59/245] Patti Hanlon-Baker (id=1180158) ... ok (1 ratings)
  [60/245] Adam Banks (id=2113736) ... ok (1 ratings)
  [61/245] Jim Fearon (id=67372) ... ok (4 ratings)
  [62/245] Paul Bator (id=544822) ... ok (10 ratings)
  [63/245] Jason Kooiker (id=2109903) ... ok (1 ratings)
  [64/245] Nate Sloan (id=1523831) ... ok (1 ratings)
  [65/245] Greg Wrenn (id=2097649) ... ok (1 ratings)
  [66/245] Richard Rorty (id=67574) ... ok (4 ratings)
  [67/245] Thomas Sheehan (id=161491) ... ok (9 ratings)
  [68/245] David Como (id=1020782) ... ok (5 ratings)
  [69/245] Terry Castle (id=1254727) ... ok (2 ratings)
  [70/245] Marcus Skinner (id=366784) ... ok (13 ratings)
  [71/245] Lester Lawrence Lessig (id=813422) ... ok (6 ratings)
  [72/245] Ran Abramizky (id=808495) ... ok (10 ratings)
  [73/245] Vani Joshi (id=2015153) ... ok (2 ratings)
  [74/245] Yakov Eliashberg (id=1498910) ... ok (1 ratings)
  [75/245] Paul Kim (id=1123756) ... ok (2 ratings)
  [76/245] William Abrams (id=925287) ... ok (6 ratings)
  [77/245] Marcelo Clerici-Arias (id=216855) ... ok (21 ratings)
  [78/245] Michael Klausner (id=133712) ... ok (6 ratings)
  [79/245] Rina Panigrahy (id=862184) ... ok (2 ratings)
  [80/245] Grant Rozeboom (id=1899146) ... ok (4 ratings)
  [81/245] Sarah Walters (id=1459206) ... ok (5 ratings)
  [82/245] Robert Huw Morgan (id=213145) ... ok (6 ratings)
  [83/245] Razvan Fetecau (id=366800) ... ok (6 ratings)
  [84/245] Andras Vasy (id=899864) ... ok (2 ratings)
  [85/245] Jure Leskovec (id=1801551) ... ok (3 ratings)
  [86/245] Adam  Zientek (id=1923179) ... ok (4 ratings)
  [87/245] Christine Alfano (id=1655665) ... ok (5 ratings)
  [88/245] Steve Cooper (id=1954089) ... ok (3 ratings)
  [89/245] Lisa Burnett (id=1662058) ... ok (2 ratings)
  [90/245] Dzuong Nguyen (id=1797659) ... ok (2 ratings)
  [91/245] Persi Diaconis (id=791680) ... ok (2 ratings)
  [92/245] David Siegmund (id=899869) ... ok (4 ratings)
  [93/245] David Kennedy (id=12873) ... ok (8 ratings)
  [94/245] Chris Bobonich (id=550077) ... ok (7 ratings)
  [95/245] Patrick Hunt (id=233752) ... ok (4 ratings)
  [96/245] Clifford Nass (id=151978) ... ok (8 ratings)
  [97/245] Robert Waymouth (id=756856) ... ok (5 ratings)
  [98/245] Marc Levoy (id=358251) ... ok (2 ratings)
  [99/245] Sheri Sheppard (id=137833) ... ok (4 ratings)
  [100/245] George Springer (id=820489) ... ok (4 ratings)
  [101/245] Daniel Schwartz (id=363551) ... ok (5 ratings)
  [102/245] Eleny Ionel (id=1913113) ... ok (1 ratings)
  [103/245] Larry Diamond (id=723474) ... ok (3 ratings)
  [104/245] Dimitry Yandulov (id=803088) ... ok (8 ratings)
  [105/245] William Hurlbut (id=856040) ... ok (3 ratings)
  [106/245] Lenny Susskind (id=738631) ... ok (9 ratings)
  [107/245] Vladislav Kargin (id=1180336) ... ok (3 ratings)
  [108/245] William Eddelman (id=1174030) ... ok (1 ratings)
  [109/245] Manuel Amador (id=1230868) ... ok (1 ratings)
  [110/245] Jeannie Lythcott (id=937017) ... ok (3 ratings)
  [111/245] John Eaton (id=1103502) ... ok (1 ratings)
  [112/245] Gary Mavko (id=1159030) ... ok (2 ratings)
  [113/245] Serge Plotkin (id=450003) ... ok (7 ratings)
  [114/245] Yitzhak Katznelson (id=366791) ... ok (3 ratings)
  [115/245] Michael Feola (id=1115563) ... ok (3 ratings)
  [116/245] Momoyo Kubo (id=155537) ... ok (8 ratings)
  [117/245] Luke Stein (id=1218904) ... ok (1 ratings)
  [118/245] Stephen Boyd (id=308694) ... ok (14 ratings)
  [119/245] Michael Fayer (id=930630) ... ok (5 ratings)
  [120/245] Alvin Roth (id=1858687) ... ok (1 ratings)
  [121/245] Leon Simon (id=1838713) ... ok (1 ratings)
  [122/245] Doru Cojoc (id=1613592) ... ok (1 ratings)
  [123/245] Peggy Phelan (id=698483) ... ok (3 ratings)
  [124/245] Kathryn Shaw (id=1115094) ... ok (1 ratings)
  [125/245] Petra Dierkes-Thrun (id=1839744) ... ok (1 ratings)
  [126/245] Margot Gerritsen (id=1657331) ... ok (1 ratings)
  [127/245] Alan Jagolinzer (id=839285) ... ok (3 ratings)
  [128/245] Sepp Gumbrecht (id=1289367) ... ok (3 ratings)
  [129/245] Alan Detton (id=1832460) ... ok (1 ratings)
  [130/245] Daphne Koller (id=138111) ... ok (9 ratings)
  [131/245] Daniel Willis Bump (id=366797) ... ok (3 ratings)
  [132/245] Deland Chan (id=1829418) ... ok (1 ratings)
  [133/245] Justin Eichenlaub (id=959399) ... ok (8 ratings)
  [134/245] Wray Huestis (id=776354) ... ok (8 ratings)
  [135/245] Ian Hodder (id=961616) ... ok (1 ratings)
  [136/245] Taylor Holubar (id=1593471) ... ok (2 ratings)
  [137/245] George Fisher (id=852912) ... ok (3 ratings)
  [138/245] Colin Haysman (id=937037) ... ok (5 ratings)
  [139/245] Karol Berger (id=1480952) ... ok (0 ratings)
  [140/245] Derek Gurney (id=962109) ... ok (0 ratings)
  [141/245] Hongjie Dai (id=1347721) ... ok (2 ratings)
  [142/245] Cindy Wilber (id=1751367) ... ok (1 ratings)
  [143/245] Victoria Rodrigue (id=1662703) ... ok (1 ratings)
  [144/245] Jo Boaler (id=701848) ... ok (3 ratings)
  [145/245] John Felstiner (id=136982) ... ok (5 ratings)
  [146/245] Morris Fiorina (id=431574) ... ok (3 ratings)
  [147/245] Kelly Greenhill (id=885503) ... ok (2 ratings)
  [148/245] Laurea Hubbard (id=1068217) ... ok (1 ratings)
  [149/245] Laura Roman (id=651090) ... ok (10 ratings)
  [150/245] Miranda Kershaw (id=1742172) ... ok (1 ratings)
  [151/245] Paula Moya (id=802206) ... ok (3 ratings)
  [152/245] Teresa Lafromboise (id=627763) ... ok (5 ratings)
  [153/245] Tony Seba (id=1723545) ... ok (1 ratings)
  [154/245] Sebastian Thrun (id=1695084) ... ok (2 ratings)
  [155/245] John McCaskey (id=363648) ... ok (24 ratings)
  [156/245] Fu Kuo Chang (id=1256446) ... ok (7 ratings)
  [157/245] Vasile Stanescu (id=1648896) ... ok (1 ratings)
