course_code,course_title,category,term,instructor,rmp_name,department,quality,difficulty,num_ratings,would_take_again_pct,match_type,profile_url
CSE120,Computer Science Principles,Introductory/Pre-Major,11wi,Snyder,Lawrence Snyder,Computer Science,3.4,2.2,6,-1.0,cs-dept,https://www.ratemyprofessors.com/professor/1418358
CSE120,Computer Science Principles,Introductory/Pre-Major,12wi,Snyder,Lawrence Snyder,Computer Science,3.4,2.2,6,-1.0,cs-dept,https://www.ratemyprofessors.com/professor/1418358
CSE120,Computer Science Principles,Introductory/Pre-Major,13wi,Snyder,Lawrence Snyder,Computer Science,3.4,2.2,6,-1.0,cs-dept,https://www.ratemyprofessors.com/professor/1418358
CSE120,Computer Science Principles,Introductory/Pre-Major,14wi,Snyder,Lawrence Snyder,Computer Science,3.4,2.2,6,-1.0,cs-dept,https://www.ratemyprofessors.com/professor/1418358
CSE120,Computer Science Principles,Introductory/Pre-Major,15wi,Snyder,Lawrence Snyder,Computer Science,3.4,2.2,6,-1.0,cs-dept,https://www.ratemyprofessors.com/professor/1418358
CSE120,Computer Science Principles,Introductory/Pre-Major,16sp,Evans,,,,,,,no_cs_match,
CSE120,Computer Science Principles,Introductory/Pre-Major,17sp,Hsia,Justin Hsia,Computer Science,3.9,3.9,44,77.2727,unique,https://www.ratemyprofessors.com/professor/2196563
CSE120,Computer Science Principles,Introductory/Pre-Major,18wi,Hsia,Justin Hsia,Computer Science,3.9,3.9,44,77.2727,unique,https://www.ratemyprofessors.com/professor/2196563
CSE120,Computer Science Principles,Introductory/Pre-Major,19wi,Hsia,Justin Hsia,Computer Science,3.9,3.9,44,77.2727,unique,https://www.ratemyprofessors.com/professor/2196563
CSE120,Computer Science Principles,Introductory/Pre-Major,20wi,Wolfson,Sam Wolfson,Computer Science,0.0,0.0,0,-1.0,unique,https://www.ratemyprofessors.com/professor/2871708
CSE121,Introduction to Computer Programming I,Introductory/Pre-Major,22au,Garza,Elba Garza,Computer Science,3.7,2.9,74,72.0,unique,https://www.ratemyprofessors.com/professor/2836919
CSE121,Introduction to Computer Programming I,Introductory/Pre-Major,22au,Wortzman,Brett Wortzman,Computer Science,4.6,3.2,119,96.6102,unique,https://www.ratemyprofessors.com/professor/1611914
CSE121,Introduction to Computer Programming I,Introductory/Pre-Major,23au,Natsuhara,Miya Natsuhara,Computer Science,4.5,2.6,67,91.1765,unique,https://www.ratemyprofessors.com/professor/2578636
CSE121,Introduction to Computer Programming I,Introductory/Pre-Major,23sp,Natsuhara,Miya Natsuhara,Computer Science,4.5,2.6,67,91.1765,unique,https://www.ratemyprofessors.com/professor/2578636
CSE121,Introduction to Computer Programming I,Introductory/Pre-Major,23su,Daniels,,,,,,,no_cs_match,
CSE121,Introduction to Computer Programming I,Introductory/Pre-Major,23wi,Garza,Elba Garza,Computer Science,3.7,2.9,74,72.0,unique,https://www.ratemyprofessors.com/professor/2836919
CSE121,Introduction to Computer Programming I,Introductory/Pre-Major,24au,Wang,Matt Wang,Computer Science,4.1,2.7,37,73.6842,ambiguous,https://www.ratemyprofessors.com/professor/3018170
CSE121,Introduction to Computer Programming I,Introductory/Pre-Major,24au,Wortzman,Brett Wortzman,Computer Science,4.6,3.2,119,96.6102,unique,https://www.ratemyprofessors.com/professor/1611914
CSE121,Introduction to Computer Programming I,Introductory/Pre-Major,24sp,Wang,Matt Wang,Computer Science,4.1,2.7,37,73.6842,ambiguous,https://www.ratemyprofessors.com/professor/3018170
CSE121,Introduction to Computer Programming I,Introductory/Pre-Major,24su,Wu,Simon Wu,Computer Science,4.0,3.0,1,100.0,cs-dept,https://www.ratemyprofessors.com/professor/3021649
CSE121,Introduction to Computer Programming I,Introductory/Pre-Major,24wi,Garza,Elba Garza,Computer Science,3.7,2.9,74,72.0,unique,https://www.ratemyprofessors.com/professor/2836919
CSE121,Introduction to Computer Programming I,Introductory/Pre-Major,24wi,Wang,Matt Wang,Computer Science,4.1,2.7,37,73.6842,ambiguous,https://www.ratemyprofessors.com/professor/3018170
CSE121,Introduction to Computer Programming I,Introductory/Pre-Major,25au,Weichert,,,,,,,not_found,
CSE121,Introduction to Computer Programming I,Introductory/Pre-Major,25au,Wortzman,Brett Wortzman,Computer Science,4.6,3.2,119,96.6102,unique,https://www.ratemyprofessors.com/professor/1611914
CSE121,Introduction to Computer Programming I,Introductory/Pre-Major,25sp,Natsuhara,Miya Natsuhara,Computer Science,4.5,2.6,67,91.1765,unique,https://www.ratemyprofessors.com/professor/2578636
CSE121,Introduction to Computer Programming I,Introductory/Pre-Major,25su,Swoffer,,,,,,,not_found,
CSE121,Introduction to Computer Programming I,Introductory/Pre-Major,25wi,Wang,Matt Wang,Computer Science,4.1,2.7,37,73.6842,ambiguous,https://www.ratemyprofessors.com/professor/3018170
CSE121,Introduction to Computer Programming I,Introductory/Pre-Major,26sp,Wang,Matt Wang,Computer Science,4.1,2.7,37,73.6842,ambiguous,https://www.ratemyprofessors.com/professor/3018170
CSE121,Introduction to Computer Programming I,Introductory/Pre-Major,26su,Feeney,,,,,,,not_found,
CSE121,Introduction to Computer Programming I,Introductory/Pre-Major,26wi,Natsuhara,Miya Natsuhara,Computer Science,4.5,2.6,67,91.1765,unique,https://www.ratemyprofessors.com/professor/2578636
CSE122,Introduction to Computer Programming II,Introductory/Pre-Major,22au,Natsuhara,Miya Natsuhara,Computer Science,4.5,2.6,67,91.1765,unique,https://www.ratemyprofessors.com/professor/2578636
CSE122,Introduction to Computer Programming II,Introductory/Pre-Major,22au,Schafer,Hunter Schafer,Computer Science,4.2,3.3,57,82.6923,unique,https://www.ratemyprofessors.com/professor/2002528
CSE122,Introduction to Computer Programming II,Introductory/Pre-Major,23au,Garza,Elba Garza,Computer Science,3.7,2.9,74,72.0,unique,https://www.ratemyprofessors.com/professor/2836919
CSE122,Introduction to Computer Programming II,Introductory/Pre-Major,23sp,Huber,,,,,,,no_cs_match,
CSE122,Introduction to Computer Programming II,Introductory/Pre-Major,23sp,Schafer,Hunter Schafer,Computer Science,4.2,3.3,57,82.6923,unique,https://www.ratemyprofessors.com/professor/2002528
CSE122,Introduction to Computer Programming II,Introductory/Pre-Major,23su,Lin,Kevin Lin,Computer Science,1.8,3.5,215,18.9815,cs-dept,https://www.ratemyprofessors.com/professor/2574020
CSE122,Introduction to Computer Programming II,Introductory/Pre-Major,23wi,Natsuhara,Miya Natsuhara,Computer Science,4.5,2.6,67,91.1765,unique,https://www.ratemyprofessors.com/professor/2578636
CSE122,Introduction to Computer Programming II,Introductory/Pre-Major,24au,Garza,Elba Garza,Computer Science,3.7,2.9,74,72.0,unique,https://www.ratemyprofessors.com/professor/2836919
CSE122,Introduction to Computer Programming II,Introductory/Pre-Major,24au,Natsuhara,Miya Natsuhara,Computer Science,4.5,2.6,67,91.1765,unique,https://www.ratemyprofessors.com/professor/2578636
CSE122,Introduction to Computer Programming II,Introductory/Pre-Major,24sp,Champion,Kasey Champion,Computer Science,4.6,3.2,20,90.0,ambiguous,https://www.ratemyprofessors.com/professor/2380331
CSE122,Introduction to Computer Programming II,Introductory/Pre-Major,24sp,Natsuhara,Miya Natsuhara,Computer Science,4.5,2.6,67,91.1765,unique,https://www.ratemyprofessors.com/professor/2578636
CSE122,Introduction to Computer Programming II,Introductory/Pre-Major,24su,Avnon,,,,,,,not_found,
CSE122,Introduction to Computer Programming II,Introductory/Pre-Major,24wi,Natsuhara,Miya Natsuhara,Computer Science,4.5,2.6,67,91.1765,unique,https://www.ratemyprofessors.com/professor/2578636
CSE122,Introduction to Computer Programming II,Introductory/Pre-Major,24wi,Spaniac,,,,,,,not_found,
CSE122,Introduction to Computer Programming II,Introductory/Pre-Major,25au,Garza,Elba Garza,Computer Science,3.7,2.9,74,72.0,unique,https://www.ratemyprofessors.com/professor/2836919
CSE122,Introduction to Computer Programming II,Introductory/Pre-Major,25sp,Salguero,Adrian Salguero,Computer Science,5.0,2.8,4,100.0,unique,https://www.ratemyprofessors.com/professor/3076738
CSE122,Introduction to Computer Programming II,Introductory/Pre-Major,25sp,Wortzman,Brett Wortzman,Computer Science,4.6,3.2,119,96.6102,unique,https://www.ratemyprofessors.com/professor/1611914
CSE122,Introduction to Computer Programming II,Introductory/Pre-Major,25su,Harris,,,,,,,no_cs_match,
CSE122,Introduction to Computer Programming II,Introductory/Pre-Major,25su,Shirakian,,,,,,,not_found,
CSE122,Introduction to Computer Programming II,Introductory/Pre-Major,25wi,Garza,Elba Garza,Computer Science,3.7,2.9,74,72.0,unique,https://www.ratemyprofessors.com/professor/2836919
CSE122,Introduction to Computer Programming II,Introductory/Pre-Major,26sp,Garza,Elba Garza,Computer Science,3.7,2.9,74,72.0,unique,https://www.ratemyprofessors.com/professor/2836919
CSE122,Introduction to Computer Programming II,Introductory/Pre-Major,26su,Lim,,,,,,,no_cs_match,
CSE122,Introduction to Computer Programming II,Introductory/Pre-Major,26su,Wang,Matt Wang,Computer Science,4.1,2.7,37,73.6842,ambiguous,https://www.ratemyprofessors.com/professor/3018170
CSE122,Introduction to Computer Programming II,Introductory/Pre-Major,26wi,Salguero,Adrian Salguero,Computer Science,5.0,2.8,4,100.0,unique,https://www.ratemyprofessors.com/professor/3076738
CSE123,Introduction to Computer Programming III,Introductory/Pre-Major,23au,Kohlbrenner,David Kohlbrenner,Computer Science,3.8,2.5,6,71.4286,unique,https://www.ratemyprofessors.com/professor/2675089
CSE123,Introduction to Computer Programming III,Introductory/Pre-Major,23au,Wortzman,Brett Wortzman,Computer Science,4.6,3.2,119,96.6102,unique,https://www.ratemyprofessors.com/professor/1611914
CSE123,Introduction to Computer Programming III,Introductory/Pre-Major,23sp,Wortzman,Brett Wortzman,Computer Science,4.6,3.2,119,96.6102,unique,https://www.ratemyprofessors.com/professor/1611914
CSE123,Introduction to Computer Programming III,Introductory/Pre-Major,23su,Boinpally,,,,,,,not_found,
CSE123,Introduction to Computer Programming III,Introductory/Pre-Major,23wi,Champion,Kasey Champion,Computer Science,4.6,3.2,20,90.0,ambiguous,https://www.ratemyprofessors.com/professor/2380331
CSE123,Introduction to Computer Programming III,Introductory/Pre-Major,23wi,Wortzman,Brett Wortzman,Computer Science,4.6,3.2,119,96.6102,unique,https://www.ratemyprofessors.com/professor/1611914
CSE123,Introduction to Computer Programming III,Introductory/Pre-Major,24au,Wilcox,James Wilcox,Computer Science,3.9,2.8,65,74.6269,unique,https://www.ratemyprofessors.com/professor/2238670
CSE123,Introduction to Computer Programming III,Introductory/Pre-Major,24sp,Brunelle,Nathan Brunelle,Computer Science,4.3,2.9,31,90.625,unique,https://www.ratemyprofessors.com/professor/2958916
CSE123,Introduction to Computer Programming III,Introductory/Pre-Major,24su,Spaniac,,,,,,,not_found,
CSE123,Introduction to Computer Programming III,Introductory/Pre-Major,24wi,Wilcox,James Wilcox,Computer Science,3.9,2.8,65,74.6269,unique,https://www.ratemyprofessors.com/professor/2238670
CSE123,Introduction to Computer Programming III,Introductory/Pre-Major,24wi,Wortzman,Brett Wortzman,Computer Science,4.6,3.2,119,96.6102,unique,https://www.ratemyprofessors.com/professor/1611914
CSE123,Introduction to Computer Programming III,Introductory/Pre-Major,25au,Wilcox,James Wilcox,Computer Science,3.9,2.8,65,74.6269,unique,https://www.ratemyprofessors.com/professor/2238670
CSE123,Introduction to Computer Programming III,Introductory/Pre-Major,25sp,Brunelle,Nathan Brunelle,Computer Science,4.3,2.9,31,90.625,unique,https://www.ratemyprofessors.com/professor/2958916
CSE123,Introduction to Computer Programming III,Introductory/Pre-Major,25su,Yin,Luoth Yin,Languages,5.0,1.5,2,100.0,unique,https://www.ratemyprofessors.com/professor/2645796
CSE123,Introduction to Computer Programming III,Introductory/Pre-Major,25wi,Natsuhara,Miya Natsuhara,Computer Science,4.5,2.6,67,91.1765,unique,https://www.ratemyprofessors.com/professor/2578636
CSE123,Introduction to Computer Programming III,Introductory/Pre-Major,25wi,Wortzman,Brett Wortzman,Computer Science,4.6,3.2,119,96.6102,unique,https://www.ratemyprofessors.com/professor/1611914
CSE123,Introduction to Computer Programming III,Introductory/Pre-Major,26sp,Natsuhara,Miya Natsuhara,Computer Science,4.5,2.6,67,91.1765,unique,https://www.ratemyprofessors.com/professor/2578636
CSE123,Introduction to Computer Programming III,Introductory/Pre-Major,26su,Vuong,,,,,,,not_found,
CSE123,Introduction to Computer Programming III,Introductory/Pre-Major,26wi,Wortzman,Brett Wortzman,Computer Science,4.6,3.2,119,96.6102,unique,https://www.ratemyprofessors.com/professor/1611914
