course_school	url	reason
CS61A - University of California Berkeley - John DeNero	https://cs61a.org/	UC Berkeley CS61A canonical site (DeNero is lead instructor); calendar links per-lecture slide PDFs
61A - University of California Berkeley - John DeNero	https://cs61a.org/	Same course as CS61A; cs61a.org calendar with per-lecture slide PDFs
CS106A - Stanford University - Mehran Sahami	https://see.stanford.edu/Course/CS106A	Sahami's CS106A on Stanford SEE; per-lecture handout/slide PDFs + full course-materials download
CS2110 - Cornell University - Curran Muhlberger	https://www.cs.cornell.edu/courses/cs2110/2024fa/schedule.html	Cornell CS2110 schedule; 28 lectures each with [slides] links
CS4780 - Cornell University - Kilian Weinberger	https://www.cs.cornell.edu/courses/cs4780/2023fa/	Canonical CS4780/CS5780 ML course schedule; per-lecture Slides PDFs (Weinberger's own 2018fa offering used HTML notes+video)
CS225 - University Of Illinois at Urbana - Champaign - Graham Evans	https://courses.grainger.illinois.edu/cs225/sp2024/pages/lectures.html	UIUC CS225 lectures page; ~40 numbered lecture slide PDFs
CS107 - Stanford University - Jerry Cain	https://web.stanford.edu/class/cs107/calendar.html	Stanford CS107 calendar; per-lecture Lecture Slides (PDF) links
CS1110 - Cornell University - Lillian Lee	https://www.cs.cornell.edu/courses/cs1110/2024fa/lectures/	Cornell CS1110 canonical lectures index; each lecture has handout|slides|demos (28 lectures)
DATA8 - University of California Berkeley - John DeNero	https://data8.org/sp25/	UC Berkeley Data 8 (Spring 2025); 43 lectures each with a Google Slides deck
CS103 - Stanford University - Keith Schwarz	https://web.stanford.edu/class/cs103/schedule.html	Stanford CS103 (Schwarz-maintained) schedule; each of 14 lecture pages has a Lecture Slides.pdf
CS109 - Harvard University - Pavlos Protopapas	https://harvard-iacs.github.io/2021-CS109A/pages/schedule.html	Harvard CS109A (Protopapas) schedule; 24 lecture pages each with slide PDFs
CSC411 - University of Toronto - St. George Campus - Roger Grosse	https://www.cs.toronto.edu/~rgrosse/courses/csc411_f18/	Grosse's UofT CSC411 ML; lectures table with 24 [Slides] PDFs
CS106A - Stanford University - Eric Roberts	https://cs.stanford.edu/people/eroberts/cs106a/lectures/index.html	Eric Roberts' own CS106A lecture-slides index; ~28 lectures each with a [ppt] deck
CS5780 - Cornell University - Kilian Weinberger	https://www.cs.cornell.edu/courses/cs4780/2023fa/	Canonical combined CS4780/CS5780 ML course; per-lecture Slides PDFs
CSCIE109B - Harvard University - Pavlos Protopapas	https://harvard-iacs.github.io/2021-CS109B/pages/schedule.html	Harvard CS109B / CSCI E-109B (Protopapas) schedule; 33 lecture pages each with slide PDFs
CSE354 - Stony Brook University (SUNY) - H. Schwartz	https://www3.cs.stonybrook.edu/~has/CSE354/Slides/	Schwartz's Stony Brook CSE354 NLP slides index; 9 topic lecture PDFs
106A - Stanford University - Mehran Sahami	https://see.stanford.edu/Course/CS106A	Sahami's CS106A on Stanford SEE; per-lecture handout/slide PDFs + materials download
CS234 - Stanford University - Emma Brunskill	https://web.stanford.edu/class/cs234/modules.html	Brunskill's Stanford CS234 RL Lecture Materials; per-lecture Slides links (~14 lectures)
CS4731 - Worcester Polytechnic Institute - Emmanuel Agu	http://web.cs.wpi.edu/~emmanuel/courses/cs4731/B16/	Agu's WPI CS4731 Computer Graphics; 24 numbered lecture slide PDFs
DATAC88C - University of California Berkeley - John DeNero	https://c88c.org/fa24/	UC Berkeley Data C88C; calendar with per-lecture Slides (PDF) decks
CS106 - Stanford University - Mehran Sahami	https://see.stanford.edu/Course/CS106A	Sahami's CS106A (best match for 'CS106') on Stanford SEE; per-lecture slide PDFs
CS184 - University of California Berkeley - Ren Ng	https://cs184.eecs.berkeley.edu/sp25	Ren Ng's UC Berkeley CS184 graphics; 28 lectures each with a 'Slides for Lecture N' deck
CSE545 - Stony Brook University (SUNY) - H. Schwartz	https://www3.cs.stonybrook.edu/~has/CSE545/Slides/	Schwartz's Stony Brook CSE545 Big Data slides index; 10 topic lecture PDFs
