course_school	url	reason
3091 - Massachusetts Institute of Technology - Donald Sadoway	https://ocw.mit.edu/courses/3-091sc-introduction-to-solid-state-chemistry-fall-2010/pages/lecture-notes/	OCW 3.091SC Intro to Solid-State Chemistry (Sadoway) Lecture Notes: flat list of per-lecture aln PDF handouts
512 - Massachusetts Institute of Technology - Kimberly Berkowski	https://ocw.mit.edu/courses/5-12-organic-chemistry-i-spring-2005/pages/lecture-handouts/	OCW 5.12 Organic Chemistry I (Berkowski) Lecture Handouts: per-lecture PDFs (LEC 1-35)
6042 - Massachusetts Institute of Technology - Albert Meyer	https://ocw.mit.edu/courses/6-042j-mathematics-for-computer-science-spring-2015/pages/readings/	OCW 6.042J Mathematics for CS (Meyer) course-notes chapter PDFs, one per session (SES 1-35)
802 - Massachusetts Institute of Technology - Peter Dourmashkin	https://ocw.mit.edu/courses/8-02-physics-ii-electricity-and-magnetism-spring-2007/pages/class-slides/	OCW 8.02 Physics II TEAL Class Slides: per-session PDF decks (SES 1-36)
802T - Massachusetts Institute of Technology - John Belcher	https://ocw.mit.edu/courses/8-02-physics-ii-electricity-and-magnetism-spring-2007/pages/class-slides/	OCW 8.02 TEAL (Belcher's studio format) Class Slides: per-session PDF decks
CHEM3091 - Massachusetts Institute of Technology - Donald Sadoway	https://ocw.mit.edu/courses/3-091sc-introduction-to-solid-state-chemistry-fall-2010/pages/lecture-notes/	OCW 3.091SC Intro to Solid-State Chemistry (Sadoway) Lecture Notes: flat list of per-lecture aln PDF handouts
900 - Massachusetts Institute of Technology - Jeremy Wolfe	https://ocw.mit.edu/courses/9-00-introduction-to-psychology-fall-2004/video_galleries/lecture-notes/	OCW 9.00 Intro to Psychology (Wolfe) per-lecture handout PDFs (Lectures 1-23)
560 - Massachusetts Institute of Technology - Moungi Bawendi	https://ocw.mit.edu/courses/5-60-thermodynamics-kinetics-spring-2008/pages/lecture-notes/	OCW 5.60 Thermodynamics & Kinetics (Bawendi) Lecture Notes: per-session PDFs (SES 1-36)
805X - Massachusetts Institute of Technology - Barton Zwiebach	https://ocw.mit.edu/courses/8-05-quantum-physics-ii-fall-2013/pages/lecture-notes/	OCW 8.05 Quantum Physics II (Zwiebach) Lecture Notes: topic-grouped PDFs
ECON1403 - Massachusetts Institute of Technology - David Autor	https://ocw.mit.edu/courses/14-03-microeconomic-theory-and-public-policy-fall-2016/pages/lecture-notes/	OCW 14.03 Microeconomic Theory & Public Policy (Autor) Lecture Notes: per-lecture PDFs (LEC 1-23)
GFA6849 - Massachusetts Institute of Technology - Erik Demaine	https://ocw.mit.edu/courses/6-849-geometric-folding-algorithms-linkages-origami-polyhedra-fall-2012/pages/calendar-and-notes/	OCW 6.849 Geometric Folding Algorithms (Demaine) Calendar and Notes: per-lecture Notes + Slides PDFs
1403 - Massachusetts Institute of Technology - David Autor	https://ocw.mit.edu/courses/14-03-microeconomic-theory-and-public-policy-fall-2016/pages/lecture-notes/	OCW 14.03 Microeconomic Theory & Public Policy (Autor) Lecture Notes: per-lecture PDFs (LEC 1-23)
512 - Massachusetts Institute of Technology - Timothy Swager	https://ocw.mit.edu/courses/5-12-organic-chemistry-i-spring-2005/pages/lecture-handouts/	OCW 5.12 Organic Chemistry I Lecture Handouts (canonical 5.12 deck index; Swager taught 5.12 in other terms)
6041 - Massachusetts Institute of Technology - Muriel Medard	https://ocw.mit.edu/courses/6-041-probabilistic-systems-analysis-and-applied-probability-fall-2010/pages/lecture-notes/	OCW 6.041 Probabilistic Systems Analysis Lecture Notes/slide PDFs (LEC 1-25); RMP instructor label off (OCW lists Tsitsiklis)
802 - Massachusetts Institute of Technology - Eric Hudson	https://ocw.mit.edu/courses/8-02-physics-ii-electricity-and-magnetism-spring-2007/pages/class-slides/	OCW 8.02 Physics II TEAL Class Slides: per-session PDF decks (SES 1-36)
805 - Massachusetts Institute of Technology - Barton Zwiebach	https://ocw.mit.edu/courses/8-05-quantum-physics-ii-fall-2013/pages/lecture-notes/	OCW 8.05 Quantum Physics II (Zwiebach) Lecture Notes: topic-grouped PDFs
PHYS8033 - Massachusetts Institute of Technology - Max Tegmark	https://ocw.mit.edu/courses/8-033-relativity-fall-2006/pages/lecture-notes/	OCW 8.033 Relativity (Tegmark) Lecture Notes: per-session lecture-slide PDFs (SES 1-26)
QFTII01 - Massachusetts Institute of Technology - Hong Liu	https://ocw.mit.edu/courses/8-324-relativistic-quantum-field-theory-ii-fall-2010/pages/lecture-notes/	OCW 8.324 Relativistic QFT II (Hong Liu) Lecture Notes: per-lecture PDFs (LEC 1-26)
