course_college	url
CH101 - North Carolina State University	-
BIS102 - University of California, Davis	-
MGT300 - Arizona State University	-
CHEM105A - University of Southern California	-
STA100 - University of California, Davis	https://yidongzhou.github.io/teaching/
PSY1001 - Baruch College	-
SFL210 - Brigham Young University	-
BIOL1201 - Louisiana State University	-
ARE101 - Columbia University	-
WRC1013 - University of Texas at San Antonio	-
STA013 - University of California, Davis	https://sta13-2014.weebly.com/
RELC333 - Brigham Young University	-
